#code        score   
3g2n_117     -34.5954
3g2n_197     -27.7045
3g2n_244     -54.9574
3g2n_35      -30.7434
3g2n_355     -31.1239
3g2n_40      -42.4566
3g2n_401     -38.5431
3g2n_405     -30.8033
3g2n_423     -31.7756
3g2n_427     -22.0501
3g2n_442     -36.2280
3g2n_450     -28.7413
3g2n_455     -37.6021
3g2n_461     -38.7287
3g2n_462     -28.1498
3g2n_475     -29.3246
3g2n_479     0.2650  
3g2n_481     -45.3447
3g2n_489     -28.3750
3g2n_49      -39.5909
3g2n_491     -35.9296
3g2n_495     -16.2582
3g2n_499     -29.8694
3g2n_506     -17.3579
3g2n_515     -45.2528
3g2n_524     -38.5912
3g2n_546     -22.9498
3g2n_547     -51.5606
3g2n_55      -32.7932
3g2n_556     -23.8649
3g2n_563     -33.1187
3g2n_574     -38.5981
3g2n_576     15.4372 
3g2n_582     -40.8212
3g2n_588     -3.5078 
3g2n_599     -25.1319
3g2n_630     -28.8050
3g2n_640     -28.7089
3g2n_642     -46.9693
3g2n_645     -19.2877
3g2n_647     -41.2317
3g2n_656     -40.2521
3g2n_658     -27.4774
3g2n_666     -2.3066 
3g2n_674     -34.6285
3g2n_675     -23.8625
3g2n_676     -23.2885
3g2n_677     -29.3421
3g2n_678     5.9790  
3g2n_681     -46.0291
3g2n_682     -17.6210
3g2n_695     -36.3536
3g2n_77      -40.2234
3g2n_772     39.0556 
3g2n_773     33.9512 
3g2n_774     36.5022 
3g2n_775     39.2306 
3g2n_81      -42.3893
3g2n_870     -28.8269
3g2n_922     -33.4920
3g2n_93      -53.4090
3g2n_967     -28.8643
3g2n_97      -38.9317
3g2n_ligand  -35.9084
