#code        score   
3u5j_124     -37.5630
3u5j_143     -49.5497
3u5j_147     -42.3723
3u5j_174     -54.7358
3u5j_195     -46.1282
3u5j_20      -55.6548
3u5j_203     -46.1556
3u5j_213     -40.4239
3u5j_233     -46.5750
3u5j_24      -44.2547
3u5j_251     -42.4381
3u5j_257     -44.5609
3u5j_268     -37.4854
3u5j_290     -25.8257
3u5j_294     -48.8083
3u5j_419     13.1463 
3u5j_421     -7.3569 
3u5j_434     -30.5521
3u5j_439     33.0339 
3u5j_458     -18.4616
3u5j_47      -54.6851
3u5j_475     -42.5566
3u5j_481     -36.4662
3u5j_482     -8.6730 
3u5j_491     -5.6961 
3u5j_493     38.9550 
3u5j_497     8.2588  
3u5j_498     -24.2674
3u5j_505     -44.4920
3u5j_526     -42.6324
3u5j_536     30.1231 
3u5j_54      -50.8230
3u5j_557     -24.6661
3u5j_561     -33.7554
3u5j_563     -8.9523 
3u5j_566     -46.1148
3u5j_574     -10.0818
3u5j_576     -27.8498
3u5j_578     -9.6588 
3u5j_580     12.8372 
3u5j_584     6.6358  
3u5j_589     -23.9951
3u5j_591     -17.0232
3u5j_593     -31.7259
3u5j_603     3.8346  
3u5j_62      -51.1052
3u5j_620     -34.4467
3u5j_639     -24.4419
3u5j_65      -53.5390
3u5j_690     -8.2078 
3u5j_710     -31.6595
3u5j_723     -31.2046
3u5j_728     -41.6550
3u5j_731     -33.8374
3u5j_733     -29.6774
3u5j_736     -25.2243
3u5j_746     -26.6403
3u5j_756     -17.2241
3u5j_757     -33.5271
3u5j_759     -35.5062
3u5j_764     -20.0221
3u5j_773     -39.5574
3u5j_803     -41.2991
3u5j_830     -48.7826
3u5j_845     -36.2804
3u5j_858     -24.6253
3u5j_894     -39.6049
3u5j_928     -29.6028
3u5j_968     -24.3158
3u5j_972     -44.7292
3u5j_974     -32.1880
3u5j_ligand  -54.1882
