#code        score   
4hge_202     -7.9330 
4hge_203     -10.1808
4hge_231     -13.0997
4hge_310     -15.6377
4hge_311     -14.5471
4hge_356     -20.2343
4hge_407     -7.7906 
4hge_414     -9.9222 
4hge_416     -8.9726 
4hge_422     -3.8452 
4hge_423     11.7373 
4hge_424     24.6356 
4hge_433     -5.7747 
4hge_437     15.2985 
4hge_438     16.7700 
4hge_446     17.3502 
4hge_452     28.5045 
4hge_456     -9.1775 
4hge_458     4.2998  
4hge_46      -12.5629
4hge_462     0.7746  
4hge_464     -0.4036 
4hge_468     0.9636  
4hge_471     2.8577  
4hge_473     1.1521  
4hge_477     -0.4441 
4hge_478     -4.4197 
4hge_498     5.5504  
4hge_503     -10.4929
4hge_530     0.1162  
4hge_534     4.4883  
4hge_543     4.2587  
4hge_548     3.3143  
4hge_549     11.8227 
4hge_55      -16.9987
4hge_555     5.8249  
4hge_558     4.5700  
4hge_559     3.7439  
4hge_572     8.9479  
4hge_573     8.8398  
4hge_574     13.2187 
4hge_581     4.8602  
4hge_583     -0.8145 
4hge_602     9.5258  
4hge_605     -18.0587
4hge_612     3.8164  
4hge_617     10.8273 
4hge_621     -2.9588 
4hge_638     4.2719  
4hge_643     1.9172  
4hge_646     3.5696  
4hge_654     1.4375  
4hge_655     6.9141  
4hge_659     15.6501 
4hge_662     12.2824 
4hge_666     30.8471 
4hge_667     -1.6378 
4hge_671     11.1618 
4hge_689     32.4792 
4hge_692     4.3107  
4hge_695     8.7958  
4hge_699     -1.5800 
4hge_700     9.1098  
4hge_737     2.7306  
4hge_742     4.2942  
4hge_749     3.2199  
4hge_797     -9.9854 
4hge_828     2.7306  
4hge_848     3.2199  
4hge_943     -6.0828 
4hge_ligand  -19.8304
