#code        score   
5dwr_144     -91.4764
5dwr_148     -68.7685
5dwr_157     -82.9533
5dwr_162     -65.5913
5dwr_166     -85.6703
5dwr_193     -90.5368
5dwr_200     -89.3827
5dwr_215     -94.4952
5dwr_286     -85.8715
5dwr_289     -91.7687
5dwr_297     -88.5451
5dwr_312     -76.1647
5dwr_382     -97.7632
5dwr_401     -47.9777
5dwr_404     -51.9866
5dwr_411     -26.8807
5dwr_412     -23.9937
5dwr_419     -21.2375
5dwr_425     -52.1852
5dwr_431     -43.2102
5dwr_441     -12.0130
5dwr_442     -34.2678
5dwr_451     2.4979  
5dwr_461     -2.4017 
5dwr_466     -64.0367
5dwr_467     -14.2929
5dwr_475     19.2746 
5dwr_480     -35.6127
5dwr_484     -4.4691 
5dwr_489     6.6627  
5dwr_490     -30.9353
5dwr_497     -15.4397
5dwr_498     -20.1318
5dwr_504     -30.3582
5dwr_508     -70.2797
5dwr_518     -32.6859
5dwr_521     -8.3874 
5dwr_527     -67.2280
5dwr_534     -54.2651
5dwr_542     -21.1527
5dwr_559     -39.7325
5dwr_560     -41.8774
5dwr_568     -31.6586
5dwr_574     -40.9817
5dwr_584     -73.4243
5dwr_588     -46.8720
5dwr_598     -34.7418
5dwr_604     -61.1703
5dwr_610     -51.3291
5dwr_612     -36.9340
5dwr_614     -23.2662
5dwr_626     -29.5369
5dwr_628     2.1212  
5dwr_633     -1.3562 
5dwr_635     -20.9870
5dwr_636     -80.2408
5dwr_637     -30.5876
5dwr_638     -23.1559
5dwr_640     5.7310  
5dwr_642     -20.0042
5dwr_649     -40.3161
5dwr_654     -19.0854
5dwr_663     -35.9995
5dwr_666     -32.0516
5dwr_669     -5.9804 
5dwr_671     -22.9197
5dwr_675     -34.0637
5dwr_676     -28.9270
5dwr_677     -28.7788
5dwr_680     -40.4388
5dwr_686     -26.6656
5dwr_691     2.0943  
5dwr_693     -26.3412
5dwr_695     20.3912 
5dwr_697     -1.8586 
5dwr_699     -28.7688
5dwr_702     -77.8888
5dwr_710     -62.6004
5dwr_711     -78.1503
5dwr_720     -47.8857
5dwr_745     -41.6558
5dwr_76      -80.7301
5dwr_875     -37.0115
5dwr_96      -73.3118
5dwr_ligand  -102.8728
