#code        score   
2r9w_49      6.80    
2r9w_206     6.70    
2r9w_202     6.67    
2r9w_247     6.61    
2r9w_246     6.56    
2r9w_927     6.56    
2r9w_713     6.56    
2r9w_910     6.56    
2r9w_708     6.56    
2r9w_911     6.55    
2r9w_772     6.53    
2r9w_928     6.51    
2r9w_618     6.46    
2r9w_749     6.46    
2r9w_817     6.45    
2r9w_795     6.45    
2r9w_828     6.44    
2r9w_769     6.44    
2r9w_411     6.43    
2r9w_831     6.37    
2r9w_393     6.36    
2r9w_791     6.36    
2r9w_886     6.36    
2r9w_710     6.36    
2r9w_774     6.35    
2r9w_718     6.35    
2r9w_679     6.34    
2r9w_950     6.32    
2r9w_881     6.29    
2r9w_478     6.28    
2r9w_734     6.28    
2r9w_533     6.26    
2r9w_750     6.26    
2r9w_124     6.26    
2r9w_460     6.25    
2r9w_741     6.25    
2r9w_449     6.25    
2r9w_744     6.22    
2r9w_462     6.21    
2r9w_549     6.20    
2r9w_717     6.20    
2r9w_860     6.16    
2r9w_593     6.13    
2r9w_505     6.12    
2r9w_538     6.12    
2r9w_868     6.12    
2r9w_513     6.11    
2r9w_778     6.10    
2r9w_725     6.10    
2r9w_787     6.09    
2r9w_949     6.05    
2r9w_307     6.03    
2r9w_766     6.02    
2r9w_869     5.97    
2r9w_671     5.97    
2r9w_640     5.96    
2r9w_691     5.95    
2r9w_794     5.93    
2r9w_670     5.91    
2r9w_872     5.91    
2r9w_592     5.89    
2r9w_839     5.89    
2r9w_558     5.88    
2r9w_580     5.88    
2r9w_517     5.83    
2r9w_531     5.82    
2r9w_579     5.80    
2r9w_834     5.79    
2r9w_873     5.78    
2r9w_521     5.78    
2r9w_779     5.75    
2r9w_145     5.75    
2r9w_522     5.74    
2r9w_740     5.74    
2r9w_541     5.72    
2r9w_759     5.69    
2r9w_586     5.69    
2r9w_651     5.68    
2r9w_566     5.66    
2r9w_559     5.56    
2r9w_ligand  6.56    
