#code        score   
3bv9_298     7.87    
3bv9_227     7.57    
3bv9_240     7.44    
3bv9_353     7.39    
3bv9_325     7.30    
3bv9_92      7.29    
3bv9_968     7.29    
3bv9_339     7.27    
3bv9_345     7.24    
3bv9_971     7.21    
3bv9_233     7.21    
3bv9_124     7.20    
3bv9_40      7.19    
3bv9_195     7.19    
3bv9_271     7.17    
3bv9_317     7.16    
3bv9_308     7.14    
3bv9_851     7.14    
3bv9_812     7.12    
3bv9_279     7.11    
3bv9_388     7.10    
3bv9_71      7.09    
3bv9_120     7.08    
3bv9_332     7.05    
3bv9_244     7.03    
3bv9_239     7.03    
3bv9_137     7.03    
3bv9_392     7.01    
3bv9_50      7.00    
3bv9_35      6.97    
3bv9_762     6.94    
3bv9_888     6.94    
3bv9_751     6.91    
3bv9_98      6.88    
3bv9_444     6.83    
3bv9_264     6.83    
3bv9_836     6.82    
3bv9_277     6.81    
3bv9_865     6.80    
3bv9_326     6.78    
3bv9_951     6.76    
3bv9_752     6.75    
3bv9_148     6.74    
3bv9_954     6.74    
3bv9_13      6.74    
3bv9_88      6.72    
3bv9_324     6.68    
3bv9_589     6.67    
3bv9_53      6.66    
3bv9_204     6.65    
3bv9_757     6.64    
3bv9_784     6.63    
3bv9_788     6.63    
3bv9_693     6.61    
3bv9_118     6.61    
3bv9_987     6.56    
3bv9_804     6.55    
3bv9_370     6.54    
3bv9_550     6.54    
3bv9_949     6.53    
3bv9_133     6.53    
3bv9_976     6.52    
3bv9_456     6.51    
3bv9_667     6.50    
3bv9_779     6.49    
3bv9_743     6.48    
3bv9_771     6.46    
3bv9_119     6.46    
3bv9_684     6.45    
3bv9_597     6.44    
3bv9_582     6.44    
3bv9_770     6.43    
3bv9_167     6.43    
3bv9_754     6.40    
3bv9_156     6.39    
3bv9_25      6.38    
3bv9_756     6.38    
3bv9_384     6.38    
3bv9_441     6.33    
3bv9_393     6.28    
3bv9_134     6.22    
3bv9_460     6.21    
3bv9_767     6.18    
3bv9_618     6.16    
3bv9_166     6.15    
3bv9_783     6.10    
3bv9_533     6.09    
3bv9_141     6.05    
3bv9_15      6.02    
3bv9_780     5.79    
3bv9_190     5.77    
3bv9_787     5.76    
3bv9_231     5.61    
3bv9_688     5.40    
3bv9_ligand  7.07    
