#code        score   
3qgy_477     7.26    
3qgy_358     7.20    
3qgy_208     7.17    
3qgy_939     7.17    
3qgy_233     7.17    
3qgy_211     7.16    
3qgy_52      7.16    
3qgy_265     7.15    
3qgy_465     7.15    
3qgy_127     7.13    
3qgy_9       7.11    
3qgy_372     7.10    
3qgy_20      7.10    
3qgy_133     7.10    
3qgy_678     7.09    
3qgy_297     7.05    
3qgy_255     7.05    
3qgy_273     7.05    
3qgy_306     7.02    
3qgy_237     7.02    
3qgy_209     7.01    
3qgy_501     7.01    
3qgy_572     7.00    
3qgy_318     6.99    
3qgy_374     6.98    
3qgy_443     6.94    
3qgy_685     6.93    
3qgy_339     6.93    
3qgy_628     6.91    
3qgy_518     6.91    
3qgy_427     6.90    
3qgy_516     6.90    
3qgy_407     6.88    
3qgy_659     6.87    
3qgy_542     6.87    
3qgy_691     6.87    
3qgy_855     6.87    
3qgy_646     6.87    
3qgy_695     6.86    
3qgy_404     6.85    
3qgy_413     6.82    
3qgy_633     6.80    
3qgy_664     6.78    
3qgy_526     6.74    
3qgy_447     6.74    
3qgy_467     6.70    
3qgy_610     6.68    
3qgy_457     6.68    
3qgy_581     6.66    
3qgy_681     6.64    
3qgy_666     6.64    
3qgy_569     6.62    
3qgy_464     6.60    
3qgy_500     6.60    
3qgy_687     6.60    
3qgy_429     6.55    
3qgy_683     6.55    
3qgy_483     6.55    
3qgy_662     6.54    
3qgy_462     6.52    
3qgy_658     6.52    
3qgy_564     6.48    
3qgy_481     6.48    
3qgy_607     6.48    
3qgy_627     6.46    
3qgy_631     6.45    
3qgy_511     6.45    
3qgy_699     6.38    
3qgy_596     6.38    
3qgy_576     6.35    
3qgy_630     6.34    
3qgy_694     6.32    
3qgy_697     6.26    
3qgy_594     6.20    
3qgy_555     6.18    
3qgy_677     6.01    
3qgy_588     5.95    
3qgy_688     5.91    
3qgy_ligand  7.10    
