#code        score   
1h22_957     7.66    
1h22_777     7.47    
1h22_828     7.48    
1h22_772     7.40    
1h22_918     7.55    
1h22_774     7.48    
1h22_852     7.50    
1h22_156     7.29    
1h22_346     7.31    
1h22_783     7.29    
1h22_786     7.13    
1h22_812     7.34    
1h22_716     7.34    
1h22_384     7.23    
1h22_722     7.18    
1h22_788     7.13    
1h22_363     7.25    
1h22_140     7.17    
1h22_197     7.26    
1h22_95      7.33    
1h22_238     7.14    
1h22_4       7.22    
1h22_212     7.18    
1h22_187     7.25    
1h22_241     7.06    
1h22_738     7.19    
1h22_276     7.20    
1h22_12      7.21    
1h22_393     7.10    
1h22_300     6.82    
1h22_267     6.90    
1h22_354     7.05    
1h22_292     6.87    
1h22_291     6.77    
1h22_75      6.99    
1h22_864     6.81    
1h22_288     6.83    
1h22_186     6.81    
1h22_527     6.50    
1h22_319     6.76    
1h22_231     6.72    
1h22_89      6.83    
1h22_606     6.56    
1h22_311     6.87    
1h22_225     6.51    
1h22_403     6.45    
1h22_261     6.43    
1h22_313     6.78    
1h22_506     6.50    
1h22_1       6.70    
1h22_448     6.57    
1h22_512     6.44    
1h22_442     6.24    
1h22_494     6.37    
1h22_464     6.23    
1h22_423     6.21    
1h22_540     6.46    
1h22_477     5.97    
1h22_595     6.23    
1h22_471     6.07    
1h22_590     6.15    
1h22_535     6.15    
1h22_653     5.91    
1h22_692     5.74    
1h22_685     5.97    
1h22_573     6.03    
1h22_651     5.87    
1h22_569     6.02    
1h22_679     5.81    
1h22_543     5.99    
1h22_565     5.36    
1h22_596     5.53    
1h22_ligand  7.36    
