#code        score   
1nvq_940     8.16    
1nvq_927     8.14    
1nvq_710     8.13    
1nvq_708     8.10    
1nvq_723     8.18    
1nvq_867     8.18    
1nvq_405     8.05    
1nvq_731     8.04    
1nvq_412     8.03    
1nvq_738     8.03    
1nvq_871     7.97    
1nvq_740     7.92    
1nvq_446     7.79    
1nvq_427     7.73    
1nvq_600     7.82    
1nvq_477     7.71    
1nvq_410     7.75    
1nvq_524     7.67    
1nvq_605     7.69    
1nvq_444     7.62    
1nvq_783     7.75    
1nvq_431     7.58    
1nvq_634     7.78    
1nvq_491     7.56    
1nvq_632     7.65    
1nvq_742     7.66    
1nvq_743     7.64    
1nvq_752     7.59    
1nvq_771     7.63    
1nvq_672     7.63    
1nvq_553     7.57    
1nvq_402     7.33    
1nvq_559     7.42    
1nvq_473     7.51    
1nvq_498     7.33    
1nvq_424     7.32    
1nvq_500     7.49    
1nvq_464     7.34    
1nvq_606     7.51    
1nvq_461     7.35    
1nvq_548     7.35    
1nvq_439     7.17    
1nvq_490     7.27    
1nvq_555     7.42    
1nvq_588     7.23    
1nvq_745     7.41    
1nvq_746     7.28    
1nvq_451     7.17    
1nvq_543     7.25    
1nvq_674     7.34    
1nvq_689     7.50    
1nvq_481     6.95    
1nvq_566     7.30    
1nvq_885     7.34    
1nvq_767     7.02    
1nvq_513     6.74    
1nvq_522     6.82    
1nvq_564     7.13    
1nvq_692     6.82    
1nvq_583     6.97    
1nvq_573     6.53    
1nvq_777     6.58    
1nvq_770     6.40    
1nvq_687     6.79    
1nvq_776     6.40    
1nvq_761     6.67    
1nvq_759     6.67    
1nvq_762     6.66    
1nvq_747     6.52    
1nvq_760     6.66    
1nvq_775     6.08    
1nvq_766     6.66    
1nvq_765     6.08    
1nvq_778     6.13    
1nvq_772     5.80    
1nvq_ligand  8.14    
