#code        score   
1u1b_2       6.40    
1u1b_214     6.37    
1u1b_26      6.34    
1u1b_919     6.34    
1u1b_8       6.32    
1u1b_40      6.23    
1u1b_95      6.25    
1u1b_765     6.21    
1u1b_79      6.24    
1u1b_256     6.28    
1u1b_929     6.05    
1u1b_275     6.14    
1u1b_24      6.21    
1u1b_298     6.14    
1u1b_30      6.04    
1u1b_27      6.02    
1u1b_86      6.08    
1u1b_834     5.86    
1u1b_220     5.87    
1u1b_255     5.96    
1u1b_826     5.87    
1u1b_260     5.88    
1u1b_258     5.82    
1u1b_263     5.95    
1u1b_97      5.95    
1u1b_50      5.82    
1u1b_232     5.79    
1u1b_768     5.67    
1u1b_385     5.75    
1u1b_295     5.64    
1u1b_340     5.58    
1u1b_28      5.70    
1u1b_277     5.71    
1u1b_558     5.45    
1u1b_237     5.67    
1u1b_430     5.42    
1u1b_21      5.44    
1u1b_356     5.32    
1u1b_933     5.44    
1u1b_195     5.35    
1u1b_18      5.39    
1u1b_3       5.30    
1u1b_496     5.13    
1u1b_224     5.29    
1u1b_494     5.20    
1u1b_444     5.12    
1u1b_553     5.13    
1u1b_468     5.13    
1u1b_351     5.06    
1u1b_507     5.23    
1u1b_644     5.00    
1u1b_769     5.23    
1u1b_569     5.11    
1u1b_435     4.96    
1u1b_694     5.11    
1u1b_390     4.93    
1u1b_55      4.87    
1u1b_432     4.84    
1u1b_172     4.95    
1u1b_155     5.11    
1u1b_166     4.89    
1u1b_578     4.89    
1u1b_491     4.70    
1u1b_678     4.73    
1u1b_176     4.91    
1u1b_588     4.73    
1u1b_331     4.68    
1u1b_330     4.71    
1u1b_149     4.66    
1u1b_388     4.78    
1u1b_124     4.53    
1u1b_150     4.51    
1u1b_658     4.55    
1u1b_571     4.58    
1u1b_157     4.60    
1u1b_183     4.58    
1u1b_154     4.37    
1u1b_198     4.54    
1u1b_191     4.33    
1u1b_196     4.09    
1u1b_171     4.11    
1u1b_160     3.79    
1u1b_ligand  6.03    
