#code        score   
2pog_434     7.36    
2pog_405     7.35    
2pog_994     7.37    
2pog_856     7.38    
2pog_729     7.34    
2pog_967     7.37    
2pog_731     7.35    
2pog_522     7.23    
2pog_734     7.36    
2pog_750     7.31    
2pog_876     7.32    
2pog_752     7.27    
2pog_853     7.29    
2pog_772     7.24    
2pog_404     7.23    
2pog_777     7.17    
2pog_441     7.18    
2pog_552     7.19    
2pog_787     7.16    
2pog_785     7.18    
2pog_473     7.09    
2pog_760     7.12    
2pog_470     7.06    
2pog_661     6.94    
2pog_402     7.08    
2pog_694     7.04    
2pog_468     7.06    
2pog_652     7.01    
2pog_572     7.05    
2pog_540     7.00    
2pog_530     7.04    
2pog_594     6.98    
2pog_479     7.01    
2pog_531     6.98    
2pog_792     6.95    
2pog_491     6.98    
2pog_457     6.94    
2pog_788     6.95    
2pog_619     6.90    
2pog_627     6.83    
2pog_593     6.89    
2pog_592     6.90    
2pog_791     6.70    
2pog_ligand  7.39    
