#code        score   
4cr9_232     5.85    
4cr9_271     5.82    
4cr9_264     5.87    
4cr9_217     5.85    
4cr9_286     5.85    
4cr9_280     5.75    
4cr9_307     5.83    
4cr9_438     5.61    
4cr9_254     5.68    
4cr9_359     5.76    
4cr9_358     5.73    
4cr9_431     5.60    
4cr9_435     5.55    
4cr9_434     5.51    
4cr9_408     5.53    
4cr9_920     5.60    
4cr9_480     5.51    
4cr9_424     5.56    
4cr9_423     5.46    
4cr9_411     5.42    
4cr9_587     5.45    
4cr9_630     5.32    
4cr9_595     5.34    
4cr9_492     5.30    
4cr9_726     5.45    
4cr9_849     5.46    
4cr9_748     5.46    
4cr9_690     5.23    
4cr9_666     5.19    
4cr9_551     5.31    
4cr9_689     5.11    
4cr9_559     5.08    
4cr9_755     5.40    
4cr9_710     5.13    
4cr9_575     5.10    
4cr9_822     5.08    
4cr9_565     5.09    
4cr9_580     5.18    
4cr9_662     5.04    
4cr9_759     5.22    
4cr9_734     5.22    
4cr9_741     5.27    
4cr9_534     5.15    
4cr9_503     5.07    
4cr9_589     4.97    
4cr9_577     5.11    
4cr9_758     5.30    
4cr9_891     4.98    
4cr9_984     4.94    
4cr9_933     5.09    
4cr9_708     5.08    
4cr9_970     5.18    
4cr9_782     5.07    
4cr9_791     5.13    
4cr9_796     5.13    
4cr9_769     5.03    
4cr9_717     4.99    
4cr9_864     5.01    
4cr9_861     5.15    
4cr9_766     5.01    
4cr9_752     5.17    
4cr9_754     5.07    
4cr9_715     4.77    
4cr9_763     5.04    
4cr9_894     5.01    
4cr9_730     4.92    
4cr9_884     4.88    
4cr9_790     5.01    
4cr9_874     4.97    
4cr9_869     4.92    
4cr9_779     4.83    
4cr9_843     4.70    
4cr9_881     4.89    
4cr9_821     4.78    
4cr9_897     4.89    
4cr9_743     4.96    
4cr9_876     4.88    
4cr9_789     5.07    
4cr9_750     4.89    
4cr9_855     4.75    
4cr9_887     4.83    
4cr9_885     4.78    
4cr9_797     4.93    
4cr9_762     4.87    
4cr9_746     4.78    
4cr9_795     5.02    
4cr9_794     4.86    
4cr9_798     4.84    
4cr9_783     4.51    
4cr9_799     4.58    
4cr9_792     4.39    
4cr9_ligand  5.75    
