#code        score   
4j21_18      7.47    
4j21_37      7.44    
4j21_30      7.42    
4j21_393     7.37    
4j21_352     7.34    
4j21_430     7.43    
4j21_50      7.39    
4j21_447     7.32    
4j21_535     7.32    
4j21_270     7.34    
4j21_463     7.27    
4j21_86      7.17    
4j21_524     7.20    
4j21_375     7.29    
4j21_190     7.15    
4j21_597     7.21    
4j21_955     7.05    
4j21_645     7.20    
4j21_462     7.14    
4j21_540     7.24    
4j21_483     7.00    
4j21_119     7.21    
4j21_490     7.07    
4j21_575     7.05    
4j21_438     6.98    
4j21_453     6.95    
4j21_428     7.09    
4j21_514     7.05    
4j21_493     7.02    
4j21_442     6.86    
4j21_730     6.93    
4j21_479     6.81    
4j21_475     6.80    
4j21_499     6.95    
4j21_627     6.94    
4j21_577     6.98    
4j21_444     6.83    
4j21_489     6.92    
4j21_456     6.80    
4j21_572     6.81    
4j21_559     7.01    
4j21_686     6.70    
4j21_574     6.98    
4j21_478     6.86    
4j21_553     6.95    
4j21_780     6.83    
4j21_582     6.94    
4j21_804     6.77    
4j21_485     6.79    
4j21_471     6.63    
4j21_688     6.83    
4j21_678     6.75    
4j21_620     6.66    
4j21_731     6.83    
4j21_680     6.57    
4j21_625     6.52    
4j21_952     6.90    
4j21_775     6.63    
4j21_754     6.72    
4j21_756     6.77    
4j21_967     6.79    
4j21_827     6.74    
4j21_752     6.64    
4j21_774     6.66    
4j21_768     6.57    
4j21_757     6.69    
4j21_761     6.69    
4j21_846     6.41    
4j21_770     6.54    
4j21_767     6.53    
4j21_763     6.42    
4j21_734     6.57    
4j21_830     6.33    
4j21_755     6.42    
4j21_741     6.41    
4j21_762     6.62    
4j21_876     6.55    
4j21_869     6.23    
4j21_753     6.49    
4j21_849     6.38    
4j21_735     6.39    
4j21_594     6.34    
4j21_842     6.31    
4j21_839     6.24    
4j21_848     6.29    
4j21_751     6.26    
4j21_569     6.49    
4j21_740     6.28    
4j21_736     6.42    
4j21_856     6.36    
4j21_771     6.18    
4j21_765     6.18    
4j21_ligand  7.38    
