#code        score   
4m0y_224     6.77    
4m0y_252     6.75    
4m0y_532     6.71    
4m0y_336     6.62    
4m0y_416     6.43    
4m0y_697     6.53    
4m0y_426     6.52    
4m0y_488     6.49    
4m0y_631     6.34    
4m0y_232     6.65    
4m0y_662     6.55    
4m0y_610     6.60    
4m0y_493     6.46    
4m0y_513     6.61    
4m0y_856     6.43    
4m0y_759     6.43    
4m0y_758     6.43    
4m0y_863     6.43    
4m0y_873     6.42    
4m0y_448     6.26    
4m0y_757     6.41    
4m0y_214     6.42    
4m0y_920     6.38    
4m0y_476     6.32    
4m0y_646     6.29    
4m0y_907     6.37    
4m0y_822     6.35    
4m0y_767     6.39    
4m0y_525     6.36    
4m0y_467     6.34    
4m0y_598     6.35    
4m0y_410     6.19    
4m0y_839     6.36    
4m0y_883     6.25    
4m0y_655     6.33    
4m0y_485     6.38    
4m0y_756     6.26    
4m0y_827     6.29    
4m0y_537     6.38    
4m0y_684     6.35    
4m0y_601     6.30    
4m0y_407     6.13    
4m0y_814     6.14    
4m0y_669     6.38    
4m0y_682     6.39    
4m0y_952     6.16    
4m0y_591     6.38    
4m0y_740     6.10    
4m0y_461     6.09    
4m0y_846     6.07    
4m0y_659     6.09    
4m0y_686     6.14    
4m0y_922     6.05    
4m0y_923     6.05    
4m0y_739     5.93    
4m0y_592     6.14    
4m0y_545     6.20    
4m0y_574     6.35    
4m0y_546     6.19    
4m0y_619     6.02    
4m0y_512     6.10    
4m0y_561     6.09    
4m0y_549     6.15    
4m0y_951     6.03    
4m0y_589     6.14    
4m0y_544     5.97    
4m0y_514     6.04    
4m0y_753     6.01    
4m0y_748     5.71    
4m0y_524     6.03    
4m0y_547     5.87    
4m0y_567     5.89    
4m0y_509     5.99    
4m0y_750     5.83    
4m0y_586     5.99    
4m0y_534     5.85    
4m0y_558     5.91    
4m0y_752     5.63    
4m0y_570     5.45    
4m0y_743     5.43    
4m0y_ligand  6.45    
