#code        score   
1h22_957     7.78    
1h22_777     7.72    
1h22_828     7.95    
1h22_772     7.73    
1h22_918     7.67    
1h22_774     7.71    
1h22_852     7.57    
1h22_156     7.49    
1h22_346     7.45    
1h22_783     7.56    
1h22_786     7.72    
1h22_812     7.47    
1h22_716     7.18    
1h22_384     7.43    
1h22_722     7.42    
1h22_788     7.37    
1h22_363     7.34    
1h22_140     7.28    
1h22_197     7.32    
1h22_95      7.40    
1h22_238     7.27    
1h22_4       7.35    
1h22_212     7.16    
1h22_187     7.20    
1h22_241     7.20    
1h22_738     7.11    
1h22_276     7.31    
1h22_12      7.27    
1h22_393     7.07    
1h22_300     7.10    
1h22_267     7.06    
1h22_354     6.95    
1h22_292     6.91    
1h22_291     7.02    
1h22_75      6.88    
1h22_864     7.10    
1h22_288     6.88    
1h22_186     6.88    
1h22_527     7.08    
1h22_319     6.88    
1h22_231     6.86    
1h22_89      6.94    
1h22_606     6.91    
1h22_311     6.74    
1h22_225     6.70    
1h22_403     6.82    
1h22_261     6.73    
1h22_313     6.67    
1h22_506     6.80    
1h22_1       6.61    
1h22_448     6.66    
1h22_512     6.41    
1h22_442     6.51    
1h22_494     6.99    
1h22_464     6.57    
1h22_423     6.73    
1h22_540     6.39    
1h22_477     6.64    
1h22_595     6.64    
1h22_471     6.51    
1h22_590     6.29    
1h22_535     6.26    
1h22_653     6.13    
1h22_692     6.47    
1h22_685     6.08    
1h22_573     6.19    
1h22_651     6.37    
1h22_569     6.02    
1h22_679     6.10    
1h22_543     6.00    
1h22_565     5.78    
1h22_596     5.65    
1h22_ligand  7.46    
