#code        score   
1yc1_5       6.79    
1yc1_289     6.76    
1yc1_281     6.80    
1yc1_205     6.77    
1yc1_214     6.75    
1yc1_293     6.75    
1yc1_38      6.73    
1yc1_29      6.75    
1yc1_220     6.75    
1yc1_196     6.77    
1yc1_159     6.72    
1yc1_199     6.69    
1yc1_246     6.63    
1yc1_296     6.50    
1yc1_254     6.48    
1yc1_765     6.61    
1yc1_130     6.53    
1yc1_134     6.54    
1yc1_352     6.46    
1yc1_421     6.40    
1yc1_314     6.31    
1yc1_486     6.35    
1yc1_653     6.24    
1yc1_376     6.12    
1yc1_487     6.21    
1yc1_14      6.05    
1yc1_441     6.19    
1yc1_687     6.12    
1yc1_784     6.13    
1yc1_492     6.18    
1yc1_412     6.04    
1yc1_684     6.19    
1yc1_431     6.10    
1yc1_447     6.07    
1yc1_407     5.92    
1yc1_630     6.14    
1yc1_483     5.87    
1yc1_471     5.86    
1yc1_480     5.98    
1yc1_413     5.96    
1yc1_437     5.94    
1yc1_429     5.86    
1yc1_691     6.06    
1yc1_403     5.87    
1yc1_440     5.85    
1yc1_415     5.77    
1yc1_401     5.84    
1yc1_573     5.81    
1yc1_485     5.79    
1yc1_428     5.85    
1yc1_523     5.76    
1yc1_581     5.76    
1yc1_700     5.71    
1yc1_536     5.60    
1yc1_542     5.62    
1yc1_516     5.70    
1yc1_610     5.77    
1yc1_644     5.67    
1yc1_528     5.67    
1yc1_689     5.73    
1yc1_496     5.62    
1yc1_612     5.65    
1yc1_512     5.62    
1yc1_570     5.56    
1yc1_584     5.55    
1yc1_564     5.57    
1yc1_546     5.55    
1yc1_557     5.46    
1yc1_642     5.58    
1yc1_622     5.49    
1yc1_636     5.48    
1yc1_680     5.47    
1yc1_521     5.43    
1yc1_549     5.60    
1yc1_634     5.64    
1yc1_616     5.54    
1yc1_688     5.55    
1yc1_663     5.31    
1yc1_635     5.27    
1yc1_582     5.25    
1yc1_ligand  6.67    
