#code        score   
3gy4_54      5.40    
3gy4_39      5.33    
3gy4_184     5.34    
3gy4_259     5.32    
3gy4_14      5.33    
3gy4_284     5.31    
3gy4_121     5.28    
3gy4_424     5.27    
3gy4_251     5.30    
3gy4_236     5.26    
3gy4_413     5.21    
3gy4_269     5.25    
3gy4_460     5.21    
3gy4_466     5.22    
3gy4_599     5.20    
3gy4_415     5.16    
3gy4_525     5.20    
3gy4_437     5.18    
3gy4_430     5.13    
3gy4_496     5.12    
3gy4_633     5.14    
3gy4_497     5.11    
3gy4_452     5.10    
3gy4_565     5.09    
3gy4_423     5.05    
3gy4_643     5.10    
3gy4_638     5.09    
3gy4_557     5.09    
3gy4_598     5.06    
3gy4_685     5.05    
3gy4_669     5.03    
3gy4_686     5.03    
3gy4_648     5.01    
3gy4_483     4.98    
3gy4_590     4.95    
3gy4_591     4.95    
3gy4_596     4.92    
3gy4_531     4.91    
3gy4_528     4.92    
3gy4_561     4.88    
3gy4_517     4.86    
3gy4_573     4.80    
3gy4_550     4.82    
3gy4_593     4.83    
3gy4_570     4.82    
3gy4_ligand  5.33    
