#code        score   
4de1_292     6.01    
4de1_277     6.04    
4de1_215     5.99    
4de1_237     5.99    
4de1_195     5.99    
4de1_190     5.97    
4de1_289     5.95    
4de1_366     5.92    
4de1_424     5.88    
4de1_88      5.82    
4de1_412     5.85    
4de1_408     5.71    
4de1_438     5.79    
4de1_581     5.73    
4de1_433     5.83    
4de1_659     5.78    
4de1_405     5.76    
4de1_340     5.75    
4de1_203     5.79    
4de1_432     5.71    
4de1_567     5.75    
4de1_275     5.74    
4de1_711     5.72    
4de1_440     5.70    
4de1_426     5.64    
4de1_674     5.58    
4de1_407     5.60    
4de1_436     5.68    
4de1_633     5.70    
4de1_636     5.68    
4de1_431     5.66    
4de1_675     5.53    
4de1_484     5.62    
4de1_487     5.58    
4de1_460     5.61    
4de1_466     5.61    
4de1_425     5.61    
4de1_458     5.61    
4de1_25      5.61    
4de1_150     5.52    
4de1_667     5.54    
4de1_593     5.57    
4de1_552     5.59    
4de1_519     5.64    
4de1_176     5.52    
4de1_317     5.54    
4de1_110     5.58    
4de1_541     5.58    
4de1_531     5.56    
4de1_558     5.49    
4de1_661     5.65    
4de1_370     5.43    
4de1_738     5.53    
4de1_474     5.57    
4de1_491     5.52    
4de1_14      5.44    
4de1_309     5.53    
4de1_664     5.43    
4de1_699     5.47    
4de1_553     5.54    
4de1_84      5.53    
4de1_509     5.51    
4de1_514     5.52    
4de1_715     5.45    
4de1_682     5.43    
4de1_550     5.45    
4de1_538     5.46    
4de1_676     5.52    
4de1_482     5.41    
4de1_105     5.42    
4de1_590     5.42    
4de1_811     5.43    
4de1_598     5.38    
4de1_620     5.45    
4de1_142     5.33    
4de1_596     5.34    
4de1_579     5.33    
4de1_545     5.39    
4de1_582     5.44    
4de1_191     5.33    
4de1_575     5.37    
4de1_127     5.45    
4de1_564     5.38    
4de1_199     5.39    
4de1_521     5.31    
4de1_586     5.24    
4de1_748     5.22    
4de1_728     5.27    
4de1_749     5.21    
4de1_744     5.23    
4de1_733     5.23    
4de1_742     5.21    
4de1_750     5.22    
4de1_697     5.30    
4de1_755     5.21    
4de1_745     5.21    
4de1_753     5.21    
4de1_761     5.17    
4de1_759     5.19    
4de1_196     5.23    
4de1_ligand  6.00    
