#code        score   
1ydt_277     7.33    
1ydt_215     7.27    
1ydt_204     7.25    
1ydt_267     7.24    
1ydt_386     7.20    
1ydt_324     7.18    
1ydt_121     7.21    
1ydt_711     7.19    
1ydt_251     7.18    
1ydt_408     7.11    
1ydt_47      7.13    
1ydt_207     7.14    
1ydt_34      7.18    
1ydt_705     7.13    
1ydt_281     7.16    
1ydt_283     7.12    
1ydt_246     7.17    
1ydt_214     7.07    
1ydt_75      7.09    
1ydt_46      7.02    
1ydt_817     7.11    
1ydt_254     7.10    
1ydt_401     6.98    
1ydt_260     7.09    
1ydt_279     7.09    
1ydt_309     7.11    
1ydt_253     7.01    
1ydt_278     7.00    
1ydt_840     7.08    
1ydt_766     7.00    
1ydt_918     7.03    
1ydt_1000    7.02    
1ydt_40      6.80    
1ydt_241     7.02    
1ydt_832     6.96    
1ydt_271     7.07    
1ydt_263     7.03    
1ydt_709     6.85    
1ydt_495     6.91    
1ydt_494     6.96    
1ydt_953     7.03    
1ydt_715     6.87    
1ydt_275     6.93    
1ydt_787     6.93    
1ydt_926     6.61    
1ydt_730     6.68    
1ydt_300     6.93    
1ydt_882     6.72    
1ydt_417     6.76    
1ydt_775     6.92    
1ydt_785     6.90    
1ydt_532     6.74    
1ydt_677     6.61    
1ydt_483     6.72    
1ydt_625     6.65    
1ydt_404     6.75    
1ydt_474     6.70    
1ydt_558     6.75    
1ydt_549     6.66    
1ydt_412     6.60    
1ydt_446     6.48    
1ydt_994     6.64    
1ydt_470     6.64    
1ydt_500     6.51    
1ydt_644     6.66    
1ydt_643     6.61    
1ydt_837     6.75    
1ydt_916     6.80    
1ydt_655     6.52    
1ydt_425     6.40    
1ydt_750     6.65    
1ydt_697     6.50    
1ydt_578     6.48    
1ydt_464     6.45    
1ydt_609     6.44    
1ydt_487     6.44    
1ydt_564     6.45    
1ydt_892     6.61    
1ydt_936     6.63    
1ydt_576     6.53    
1ydt_818     6.41    
1ydt_538     6.39    
1ydt_684     6.44    
1ydt_678     6.16    
1ydt_539     6.36    
1ydt_632     6.37    
1ydt_432     6.27    
1ydt_694     6.23    
1ydt_556     6.20    
1ydt_659     5.92    
1ydt_ligand  7.24    
