#code        score   
2zb1_329     8.22    
2zb1_55      8.21    
2zb1_105     8.14    
2zb1_203     8.26    
2zb1_98      8.18    
2zb1_206     8.22    
2zb1_16      8.10    
2zb1_85      8.05    
2zb1_726     8.04    
2zb1_963     8.14    
2zb1_426     7.96    
2zb1_425     8.03    
2zb1_488     7.90    
2zb1_461     7.74    
2zb1_821     7.98    
2zb1_423     7.83    
2zb1_680     7.71    
2zb1_875     7.80    
2zb1_599     7.71    
2zb1_688     7.58    
2zb1_669     7.61    
2zb1_485     7.75    
2zb1_672     7.74    
2zb1_622     7.64    
2zb1_590     7.54    
2zb1_585     7.48    
2zb1_636     7.65    
2zb1_678     7.61    
2zb1_510     7.65    
2zb1_626     7.59    
2zb1_515     7.73    
2zb1_487     7.72    
2zb1_689     7.64    
2zb1_476     7.61    
2zb1_494     7.37    
2zb1_639     7.50    
2zb1_565     7.41    
2zb1_541     7.56    
2zb1_568     7.55    
2zb1_588     7.50    
2zb1_597     7.57    
2zb1_475     7.33    
2zb1_573     7.42    
2zb1_673     7.49    
2zb1_686     7.31    
2zb1_763     7.47    
2zb1_570     7.37    
2zb1_742     7.44    
2zb1_469     7.28    
2zb1_593     7.43    
2zb1_651     7.39    
2zb1_549     7.25    
2zb1_645     7.41    
2zb1_533     7.39    
2zb1_577     7.22    
2zb1_683     7.50    
2zb1_578     7.31    
2zb1_479     7.31    
2zb1_580     7.23    
2zb1_667     7.28    
2zb1_581     7.33    
2zb1_576     7.32    
2zb1_744     7.37    
2zb1_660     7.24    
2zb1_665     7.24    
2zb1_745     7.53    
2zb1_761     7.35    
2zb1_760     7.35    
2zb1_663     7.17    
2zb1_658     7.32    
2zb1_699     7.24    
2zb1_741     7.19    
2zb1_582     6.70    
2zb1_ligand  8.20    
