#code        score   
3wz8_86      7.84    
3wz8_713     7.85    
3wz8_705     7.83    
3wz8_154     7.63    
3wz8_721     7.76    
3wz8_296     7.85    
3wz8_243     7.66    
3wz8_364     7.62    
3wz8_965     8.01    
3wz8_391     7.69    
3wz8_124     7.61    
3wz8_371     7.56    
3wz8_109     7.63    
3wz8_376     7.60    
3wz8_313     7.78    
3wz8_782     7.39    
3wz8_380     7.50    
3wz8_338     7.50    
3wz8_136     7.49    
3wz8_557     7.26    
3wz8_946     7.54    
3wz8_418     7.44    
3wz8_318     7.20    
3wz8_145     7.07    
3wz8_316     7.26    
3wz8_614     7.15    
3wz8_474     6.97    
3wz8_323     7.12    
3wz8_479     7.13    
3wz8_573     7.36    
3wz8_546     7.36    
3wz8_566     7.13    
3wz8_462     7.10    
3wz8_4       6.92    
3wz8_627     7.01    
3wz8_510     7.14    
3wz8_492     7.08    
3wz8_534     6.97    
3wz8_667     7.26    
3wz8_484     6.96    
3wz8_604     7.14    
3wz8_326     6.72    
3wz8_524     6.68    
3wz8_570     6.66    
3wz8_514     6.85    
3wz8_659     7.08    
3wz8_645     6.87    
3wz8_641     7.01    
3wz8_505     6.58    
3wz8_651     6.68    
3wz8_700     6.94    
3wz8_582     6.69    
3wz8_413     7.03    
3wz8_631     7.03    
3wz8_600     6.84    
3wz8_507     7.06    
3wz8_680     6.61    
3wz8_684     6.82    
3wz8_529     6.86    
3wz8_657     6.96    
3wz8_623     6.67    
3wz8_558     6.80    
3wz8_617     6.83    
3wz8_670     6.88    
3wz8_642     6.74    
3wz8_633     6.69    
3wz8_455     6.90    
3wz8_695     6.55    
3wz8_554     6.80    
3wz8_544     6.62    
3wz8_513     6.61    
3wz8_688     6.83    
3wz8_686     6.60    
3wz8_569     6.59    
3wz8_542     6.47    
3wz8_559     6.08    
3wz8_549     6.42    
3wz8_671     6.45    
3wz8_588     6.65    
3wz8_572     5.98    
3wz8_527     6.08    
3wz8_596     6.07    
3wz8_568     5.92    
3wz8_ligand  7.63    
