#code        score   
4cra_204     8.04    
4cra_230     7.94    
4cra_283     7.99    
4cra_224     7.93    
4cra_281     7.94    
4cra_258     7.88    
4cra_4       7.80    
4cra_354     7.73    
4cra_364     7.70    
4cra_292     7.70    
4cra_155     7.68    
4cra_175     7.56    
4cra_358     7.64    
4cra_201     7.73    
4cra_318     7.69    
4cra_214     7.58    
4cra_719     7.70    
4cra_219     7.43    
4cra_276     7.47    
4cra_296     7.54    
4cra_126     7.57    
4cra_119     7.43    
4cra_378     7.42    
4cra_302     7.51    
4cra_270     7.55    
4cra_250     7.52    
4cra_383     7.36    
4cra_113     7.54    
4cra_830     7.40    
4cra_130     7.43    
4cra_375     7.25    
4cra_240     7.20    
4cra_547     7.27    
4cra_444     7.36    
4cra_504     7.09    
4cra_720     7.40    
4cra_893     7.33    
4cra_307     7.10    
4cra_151     7.10    
4cra_578     7.09    
4cra_905     7.36    
4cra_716     7.04    
4cra_422     7.25    
4cra_61      7.12    
4cra_918     7.21    
4cra_24      6.81    
4cra_855     7.13    
4cra_564     6.95    
4cra_953     6.92    
4cra_610     7.29    
4cra_441     6.89    
4cra_604     7.17    
4cra_644     6.68    
4cra_624     6.95    
4cra_81      6.76    
4cra_470     6.88    
4cra_596     6.68    
4cra_795     7.06    
4cra_941     6.90    
4cra_541     6.94    
4cra_548     6.77    
4cra_579     6.95    
4cra_540     7.19    
4cra_566     6.85    
4cra_861     7.05    
4cra_124     6.75    
4cra_496     6.83    
4cra_972     6.93    
4cra_413     7.06    
4cra_748     6.77    
4cra_538     6.74    
4cra_967     6.77    
4cra_479     7.00    
4cra_525     6.68    
4cra_569     6.65    
4cra_576     6.82    
4cra_477     6.97    
4cra_439     6.92    
4cra_549     6.55    
4cra_590     6.73    
4cra_102     6.46    
4cra_580     6.29    
4cra_689     6.50    
4cra_456     6.87    
4cra_656     6.52    
4cra_695     6.45    
4cra_591     6.62    
4cra_828     6.66    
4cra_472     6.73    
4cra_827     6.77    
4cra_680     6.60    
4cra_523     6.46    
4cra_533     6.00    
4cra_636     6.67    
4cra_595     6.43    
4cra_448     6.81    
4cra_572     6.42    
4cra_658     6.34    
4cra_589     6.15    
4cra_584     5.87    
4cra_ligand  7.79    
