#code        score   
4ddk_406     5.89    
4ddk_391     5.85    
4ddk_327     5.85    
4ddk_345     5.85    
4ddk_303     5.84    
4ddk_361     5.82    
4ddk_546     5.79    
4ddk_939     5.81    
4ddk_672     5.73    
4ddk_184     5.73    
4ddk_359     5.78    
4ddk_410     5.76    
4ddk_467     5.76    
4ddk_450     5.72    
4ddk_444     5.67    
4ddk_431     5.69    
4ddk_402     5.66    
4ddk_642     5.65    
4ddk_443     5.67    
4ddk_432     5.62    
4ddk_438     5.67    
4ddk_419     5.67    
4ddk_583     5.61    
4ddk_460     5.65    
4ddk_413     5.60    
4ddk_34      5.62    
4ddk_538     5.54    
4ddk_541     5.61    
4ddk_445     5.51    
4ddk_11      5.59    
4ddk_970     5.58    
4ddk_41      5.57    
4ddk_296     5.51    
4ddk_78      5.54    
4ddk_476     5.54    
4ddk_751     5.47    
4ddk_820     5.52    
4ddk_470     5.50    
4ddk_464     5.49    
4ddk_664     5.49    
4ddk_451     5.48    
4ddk_525     5.46    
4ddk_962     5.46    
4ddk_487     5.46    
4ddk_709     5.39    
4ddk_488     5.37    
4ddk_479     5.43    
4ddk_528     5.44    
4ddk_89      5.45    
4ddk_881     5.35    
4ddk_652     5.38    
4ddk_515     5.42    
4ddk_457     5.42    
4ddk_684     5.41    
4ddk_755     5.30    
4ddk_882     5.30    
4ddk_632     5.35    
4ddk_650     5.36    
4ddk_568     5.37    
4ddk_628     5.38    
4ddk_496     5.40    
4ddk_872     5.26    
4ddk_726     5.31    
4ddk_689     5.30    
4ddk_596     5.36    
4ddk_170     5.34    
4ddk_485     5.37    
4ddk_542     5.35    
4ddk_878     5.29    
4ddk_543     5.34    
4ddk_621     5.31    
4ddk_644     5.18    
4ddk_113     5.30    
4ddk_466     5.32    
4ddk_776     5.30    
4ddk_651     5.17    
4ddk_53      5.14    
4ddk_606     5.27    
4ddk_580     5.24    
4ddk_951     5.18    
4ddk_959     5.18    
4ddk_696     5.22    
4ddk_535     5.23    
4ddk_925     5.20    
4ddk_773     5.20    
4ddk_59      5.17    
4ddk_953     5.16    
4ddk_813     5.20    
4ddk_815     5.20    
4ddk_680     5.22    
4ddk_782     5.20    
4ddk_836     5.17    
4ddk_812     5.13    
4ddk_811     5.12    
4ddk_660     5.15    
4ddk_767     5.12    
4ddk_771     5.14    
4ddk_550     5.13    
4ddk_536     5.10    
4ddk_ligand  5.85    
