#code        score   
4eky_899     6.93    
4eky_38      6.89    
4eky_32      6.89    
4eky_725     6.91    
4eky_883     6.88    
4eky_969     6.84    
4eky_972     6.84    
4eky_941     6.85    
4eky_908     6.83    
4eky_755     6.83    
4eky_856     6.81    
4eky_720     6.75    
4eky_842     6.80    
4eky_830     6.74    
4eky_848     6.74    
4eky_875     6.71    
4eky_730     6.74    
4eky_876     6.72    
4eky_727     6.70    
4eky_741     6.68    
4eky_274     6.67    
4eky_742     6.62    
4eky_287     6.60    
4eky_759     6.60    
4eky_619     6.57    
4eky_419     6.55    
4eky_609     6.51    
4eky_699     6.53    
4eky_767     6.54    
4eky_430     6.50    
4eky_407     6.48    
4eky_770     6.52    
4eky_768     6.47    
4eky_639     6.45    
4eky_700     6.45    
4eky_649     6.44    
4eky_763     6.36    
4eky_565     6.40    
4eky_773     6.40    
4eky_693     6.39    
4eky_636     6.38    
4eky_673     6.34    
4eky_438     6.39    
4eky_443     6.33    
4eky_546     6.37    
4eky_568     6.32    
4eky_776     6.27    
4eky_478     6.33    
4eky_424     6.34    
4eky_433     6.31    
4eky_461     6.29    
4eky_771     6.27    
4eky_638     6.28    
4eky_538     6.28    
4eky_495     6.27    
4eky_599     6.25    
4eky_651     6.29    
4eky_416     6.27    
4eky_647     6.19    
4eky_534     6.27    
4eky_425     6.22    
4eky_448     6.23    
4eky_774     6.20    
4eky_640     6.19    
4eky_772     6.09    
4eky_496     6.14    
4eky_475     6.16    
4eky_678     6.15    
4eky_778     6.07    
4eky_659     6.10    
4eky_485     6.08    
4eky_582     6.04    
4eky_641     5.99    
4eky_668     6.00    
4eky_680     5.97    
4eky_777     5.99    
4eky_779     5.92    
4eky_ligand  6.84    
