#code        score   
4qd6_265     7.47    
4qd6_58      6.99    
4qd6_408     7.26    
4qd6_958     7.10    
4qd6_939     6.84    
4qd6_942     6.81    
4qd6_960     6.76    
4qd6_673     6.88    
4qd6_971     6.83    
4qd6_339     7.05    
4qd6_687     6.97    
4qd6_954     6.81    
4qd6_84      6.75    
4qd6_85      6.82    
4qd6_975     6.75    
4qd6_294     6.90    
4qd6_934     6.71    
4qd6_978     6.74    
4qd6_475     6.90    
4qd6_825     7.05    
4qd6_790     6.73    
4qd6_639     6.71    
4qd6_925     6.64    
4qd6_207     6.68    
4qd6_160     6.76    
4qd6_44      6.61    
4qd6_390     6.53    
4qd6_449     6.72    
4qd6_414     6.63    
4qd6_346     6.82    
4qd6_948     6.59    
4qd6_347     6.93    
4qd6_707     6.65    
4qd6_714     6.69    
4qd6_511     6.84    
4qd6_501     6.95    
4qd6_6       6.58    
4qd6_708     6.54    
4qd6_62      6.63    
4qd6_429     6.64    
4qd6_219     6.77    
4qd6_835     6.69    
4qd6_397     6.47    
4qd6_167     6.47    
4qd6_847     6.41    
4qd6_737     6.50    
4qd6_528     6.30    
4qd6_623     6.55    
4qd6_709     6.48    
4qd6_230     6.81    
4qd6_302     6.62    
4qd6_290     6.66    
4qd6_612     6.45    
4qd6_588     6.56    
4qd6_82      6.23    
4qd6_674     6.54    
4qd6_268     6.13    
4qd6_507     6.48    
4qd6_519     6.38    
4qd6_642     6.42    
4qd6_312     6.38    
4qd6_187     6.44    
4qd6_653     6.16    
4qd6_520     6.40    
4qd6_671     6.38    
4qd6_568     6.14    
4qd6_276     6.19    
4qd6_683     6.55    
4qd6_614     6.44    
4qd6_448     6.15    
4qd6_621     6.26    
4qd6_547     6.43    
4qd6_298     6.41    
4qd6_428     6.11    
4qd6_103     6.35    
4qd6_578     6.41    
4qd6_465     6.14    
4qd6_490     6.37    
4qd6_681     6.11    
4qd6_387     6.24    
4qd6_473     6.14    
4qd6_700     6.13    
4qd6_516     6.21    
4qd6_573     6.23    
4qd6_460     6.36    
4qd6_471     6.35    
4qd6_518     5.99    
4qd6_593     6.39    
4qd6_678     6.05    
4qd6_540     5.51    
4qd6_675     6.18    
4qd6_574     5.99    
4qd6_529     5.38    
4qd6_ligand  6.60    
