#code        score   
2cbv_291     242.2   
2cbv_312     241.3   
2cbv_409     241.1   
2cbv_413     243.5   
2cbv_422     241.0   
2cbv_452     241.3   
2cbv_453     234.8   
2cbv_470     253.1   
2cbv_484     233.5   
2cbv_489     240.1   
2cbv_499     248.1   
2cbv_524     188.9   
2cbv_528     174.6   
2cbv_541     201.0   
2cbv_542     216.2   
2cbv_546     192.4   
2cbv_547     192.0   
2cbv_548     185.2   
2cbv_550     225.8   
2cbv_551     212.7   
2cbv_552     198.0   
2cbv_553     179.7   
2cbv_556     218.4   
2cbv_560     177.1   
2cbv_561     173.6   
2cbv_562     178.0   
2cbv_563     179.7   
2cbv_564     165.6   
2cbv_566     190.9   
2cbv_567     185.1   
2cbv_568     187.9   
2cbv_571     178.6   
2cbv_573     192.0   
2cbv_579     182.5   
2cbv_583     174.6   
2cbv_586     190.5   
2cbv_590     180.2   
2cbv_591     174.7   
2cbv_592     192.7   
2cbv_593     178.2   
2cbv_595     216.5   
2cbv_596     175.7   
2cbv_62      241.5   
2cbv_658     217.2   
2cbv_661     220.9   
2cbv_675     216.2   
2cbv_685     224.9   
2cbv_696     208.6   
2cbv_712     244.0   
2cbv_719     244.0   
2cbv_753     241.3   
2cbv_759     238.1   
2cbv_770     236.3   
2cbv_772     238.1   
2cbv_773     247.3   
2cbv_781     234.9   
2cbv_785     240.8   
2cbv_869     246.1   
2cbv_871     242.3   
2cbv_872     219.2   
2cbv_877     244.1   
2cbv_881     234.6   
2cbv_90      244.2   
2cbv_945     247.2   
2cbv_984     242.8   
2cbv_985     243.0   
2cbv_ligand  242.0   
