#code        score   
2yge_198     506.5   
2yge_22      500.1   
2yge_252     493.6   
2yge_267     505.8   
2yge_269     494.1   
2yge_35      488.1   
2yge_402     479.4   
2yge_408     471.9   
2yge_410     519.3   
2yge_425     493.2   
2yge_437     440.0   
2yge_439     495.0   
2yge_447     474.6   
2yge_467     476.1   
2yge_472     467.9   
2yge_476     503.2   
2yge_539     433.1   
2yge_543     440.6   
2yge_559     476.1   
2yge_565     320.9   
2yge_579     384.8   
2yge_580     474.7   
2yge_586     404.9   
2yge_627     273.2   
2yge_629     304.5   
2yge_646     402.6   
2yge_659     313.1   
2yge_664     415.2   
2yge_669     302.7   
2yge_679     292.5   
2yge_686     242.9   
2yge_687     392.6   
2yge_697     301.5   
2yge_705     522.6   
2yge_713     509.7   
2yge_721     486.5   
2yge_730     507.1   
2yge_74      507.2   
2yge_748     429.7   
2yge_753     511.3   
2yge_758     456.6   
2yge_760     480.0   
2yge_761     423.6   
2yge_766     341.6   
2yge_768     423.9   
2yge_769     407.8   
2yge_770     455.1   
2yge_772     448.0   
2yge_773     355.1   
2yge_778     449.3   
2yge_781     393.4   
2yge_784     434.6   
2yge_786     398.4   
2yge_787     506.3   
2yge_792     434.6   
2yge_798     461.8   
2yge_842     488.0   
2yge_882     493.2   
2yge_892     354.7   
2yge_966     511.8   
2yge_985     512.0   
2yge_ligand  472.3   
