#code        score   
4dld_109     318.2   
4dld_178     358.2   
4dld_198     314.7   
4dld_199     328.1   
4dld_207     364.6   
4dld_208     367.2   
4dld_211     368.6   
4dld_249     390.3   
4dld_252     351.6   
4dld_260     363.9   
4dld_261     375.5   
4dld_262     376.6   
4dld_282     392.3   
4dld_285     384.6   
4dld_293     363.9   
4dld_300     381.0   
4dld_313     340.5   
4dld_314     331.0   
4dld_369     341.3   
4dld_408     393.2   
4dld_410     369.2   
4dld_422     367.4   
4dld_425     383.8   
4dld_427     374.3   
4dld_428     356.1   
4dld_438     351.9   
4dld_441     369.0   
4dld_455     373.5   
4dld_457     355.4   
4dld_464     391.4   
4dld_466     351.7   
4dld_473     363.2   
4dld_474     382.4   
4dld_478     364.7   
4dld_490     333.2   
4dld_497     376.8   
4dld_499     366.7   
4dld_500     385.1   
4dld_501     333.7   
4dld_506     325.4   
4dld_517     340.3   
4dld_535     303.7   
4dld_539     268.9   
4dld_540     315.9   
4dld_545     317.4   
4dld_548     349.7   
4dld_557     324.6   
4dld_567     308.7   
4dld_568     317.7   
4dld_573     302.9   
4dld_576     346.0   
4dld_577     300.3   
4dld_581     333.0   
4dld_583     362.9   
4dld_598     303.5   
4dld_631     324.3   
4dld_636     317.5   
4dld_649     313.5   
4dld_653     340.6   
4dld_659     336.0   
4dld_677     303.3   
4dld_709     372.5   
4dld_728     373.9   
4dld_740     331.8   
4dld_747     346.4   
4dld_752     346.5   
4dld_79      327.3   
4dld_811     341.7   
4dld_826     384.8   
4dld_873     349.4   
4dld_900     356.7   
4dld_947     356.3   
4dld_ligand  367.2   
