#code        score   
4gid_132     532.2   
4gid_134     641.3   
4gid_197     753.2   
4gid_201     756.8   
4gid_204     762.8   
4gid_205     734.0   
4gid_217     699.1   
4gid_229     594.4   
4gid_230     712.3   
4gid_232     606.2   
4gid_235     704.5   
4gid_237     618.3   
4gid_242     573.5   
4gid_245     761.8   
4gid_246     722.0   
4gid_257     751.8   
4gid_259     749.8   
4gid_269     767.0   
4gid_270     641.5   
4gid_276     780.7   
4gid_277     710.9   
4gid_282     709.0   
4gid_285     725.0   
4gid_290     608.7   
4gid_291     773.7   
4gid_298     741.8   
4gid_301     489.0   
4gid_311     535.7   
4gid_315     391.1   
4gid_324     541.8   
4gid_336     760.4   
4gid_368     443.9   
4gid_372     392.4   
4gid_39      518.4   
4gid_393     440.7   
4gid_402     709.6   
4gid_405     752.9   
4gid_408     745.3   
4gid_412     681.7   
4gid_416     693.5   
4gid_421     744.0   
4gid_428     615.9   
4gid_429     717.4   
4gid_433     594.0   
4gid_435     692.8   
4gid_449     688.2   
4gid_453     628.7   
4gid_462     676.5   
4gid_475     693.8   
4gid_479     691.1   
4gid_481     648.7   
4gid_482     658.9   
4gid_483     682.4   
4gid_486     655.9   
4gid_506     518.5   
4gid_507     571.7   
4gid_509     601.2   
4gid_54      517.6   
4gid_577     599.8   
4gid_580     703.4   
4gid_596     508.7   
4gid_625     491.2   
4gid_629     532.9   
4gid_630     513.9   
4gid_666     703.1   
4gid_699     586.8   
4gid_700     560.7   
4gid_713     651.5   
4gid_718     700.2   
4gid_725     637.4   
4gid_732     648.6   
4gid_735     709.9   
4gid_739     640.9   
4gid_744     715.2   
4gid_752     509.1   
4gid_766     754.4   
4gid_770     631.4   
4gid_78      432.6   
4gid_789     772.8   
4gid_791     742.0   
4gid_792     751.9   
4gid_796     738.2   
4gid_804     757.7   
4gid_809     688.3   
4gid_811     727.7   
4gid_815     692.9   
4gid_833     728.5   
4gid_860     696.8   
4gid_861     585.2   
4gid_874     711.4   
4gid_880     669.3   
4gid_897     772.3   
4gid_937     751.7   
4gid_941     643.7   
4gid_943     594.9   
4gid_944     633.3   
4gid_946     603.2   
4gid_948     630.2   
4gid_951     650.6   
4gid_959     708.3   
4gid_ligand  745.3   
