#code        score   
4jia_11      302.4   
4jia_111     376.1   
4jia_162     451.8   
4jia_202     379.9   
4jia_205     375.0   
4jia_210     354.7   
4jia_214     409.3   
4jia_223     366.4   
4jia_227     410.1   
4jia_230     436.9   
4jia_232     453.2   
4jia_249     360.7   
4jia_257     344.6   
4jia_261     380.7   
4jia_275     368.6   
4jia_282     401.5   
4jia_285     411.4   
4jia_287     351.3   
4jia_291     395.4   
4jia_293     381.7   
4jia_295     420.6   
4jia_316     443.5   
4jia_335     341.7   
4jia_337     401.7   
4jia_362     338.8   
4jia_415     384.5   
4jia_418     428.2   
4jia_419     420.6   
4jia_427     473.9   
4jia_439     385.8   
4jia_443     420.8   
4jia_460     337.0   
4jia_479     420.3   
4jia_485     384.7   
4jia_532     373.3   
4jia_539     362.0   
4jia_551     360.7   
4jia_552     411.9   
4jia_555     402.1   
4jia_569     367.2   
4jia_587     372.2   
4jia_60      329.1   
4jia_609     470.9   
4jia_61      308.0   
4jia_66      347.4   
4jia_661     413.2   
4jia_665     389.6   
4jia_679     412.3   
4jia_707     411.5   
4jia_710     383.0   
4jia_711     299.0   
4jia_712     312.8   
4jia_719     403.7   
4jia_723     377.5   
4jia_724     342.2   
4jia_725     306.0   
4jia_727     348.8   
4jia_729     223.8   
4jia_733     308.0   
4jia_734     357.0   
4jia_737     351.0   
4jia_740     278.7   
4jia_743     248.9   
4jia_747     291.0   
4jia_749     301.3   
4jia_752     286.8   
4jia_754     316.8   
4jia_758     324.2   
4jia_763     262.7   
4jia_765     302.8   
4jia_766     307.7   
4jia_767     238.2   
4jia_769     306.2   
4jia_770     223.7   
4jia_773     227.5   
4jia_774     371.2   
4jia_777     249.1   
4jia_783     246.7   
4jia_789     166.0   
4jia_793     224.2   
4jia_796     238.4   
4jia_807     381.5   
4jia_812     333.6   
4jia_844     309.5   
4jia_85      313.7   
4jia_851     322.3   
4jia_868     414.5   
4jia_876     368.4   
4jia_88      341.2   
4jia_885     339.7   
4jia_889     390.1   
4jia_891     363.0   
4jia_907     344.5   
4jia_91      334.6   
4jia_917     347.5   
4jia_923     377.9   
4jia_957     349.4   
4jia_959     325.1   
4jia_984     360.6   
4jia_994     369.8   
4jia_ligand  326.5   
