#code        score   
1r5y_113     5.24    
1r5y_118     4.18    
1r5y_167     5.3     
1r5y_179     3.46    
1r5y_180     4.09    
1r5y_181     3.71    
1r5y_197     4.89    
1r5y_270     4.75    
1r5y_317     3.79    
1r5y_322     3.1     
1r5y_324     3.56    
1r5y_341     5.69    
1r5y_397     3.97    
1r5y_402     1.64    
1r5y_405     -1.51   
1r5y_409     -4.92   
1r5y_412     -1.04   
1r5y_416     -0.51   
1r5y_423     0.22    
1r5y_425     -6.81   
1r5y_426     1.48    
1r5y_432     -11.09  
1r5y_434     -6.49   
1r5y_441     -2.33   
1r5y_443     -5.9    
1r5y_445     -3.22   
1r5y_452     -0.95   
1r5y_453     1.46    
1r5y_464     1.22    
1r5y_469     -2.23   
1r5y_477     -3.08   
1r5y_480     0.05    
1r5y_496     -4.85   
1r5y_497     -7.81   
1r5y_498     -4.43   
1r5y_524     1.49    
1r5y_537     4.01    
1r5y_538     3.77    
1r5y_540     3.25    
1r5y_541     2.23    
1r5y_542     1.65    
1r5y_545     -2.95   
1r5y_547     2.96    
1r5y_553     2.8     
1r5y_562     1.19    
1r5y_566     1.76    
1r5y_568     0.15    
1r5y_571     2.76    
1r5y_579     3.39    
1r5y_583     1.58    
1r5y_584     2.56    
1r5y_591     0.16    
1r5y_592     3.02    
1r5y_595     3.24    
1r5y_599     -0.61   
1r5y_616     0.98    
1r5y_639     0.5     
1r5y_641     0.52    
1r5y_686     -0.85   
1r5y_691     3.16    
1r5y_694     -1.84   
1r5y_727     2.32    
1r5y_732     2.25    
1r5y_733     2.26    
1r5y_735     2.8     
1r5y_745     3.15    
1r5y_746     2.89    
1r5y_751     2.86    
1r5y_755     2.67    
1r5y_759     2.63    
1r5y_762     2.12    
1r5y_763     2.65    
1r5y_766     2.28    
1r5y_767     1.44    
1r5y_770     2.74    
1r5y_776     2.37    
1r5y_777     0.61    
1r5y_780     1.32    
1r5y_782     1.99    
1r5y_783     2       
1r5y_785     1.19    
1r5y_786     0.59    
1r5y_787     0.85    
1r5y_791     -9.79   
1r5y_820     2.63    
1r5y_853     -0.25   
1r5y_868     2.51    
1r5y_870     0.62    
1r5y_883     1.45    
1r5y_887     2.36    
1r5y_90      4.36    
1r5y_928     -0.42   
1r5y_987     2.84    
1r5y_ligand  5.62    
