#code        score   
2weg_106     4.25    
2weg_146     4.19    
2weg_177     4.28    
2weg_20      4.26    
2weg_204     4.68    
2weg_21      3.74    
2weg_218     5.05    
2weg_248     4.85    
2weg_301     4.15    
2weg_314     4.25    
2weg_335     3.89    
2weg_343     4.52    
2weg_371     3.89    
2weg_385     4.76    
2weg_387     3.97    
2weg_390     4.16    
2weg_407     0.27    
2weg_415     -3.65   
2weg_419     3.34    
2weg_437     1.3     
2weg_443     -3.16   
2weg_447     -3.58   
2weg_468     -1.24   
2weg_472     0.52    
2weg_476     3.12    
2weg_502     -3.15   
2weg_515     -1.98   
2weg_517     3.11    
2weg_518     -0.45   
2weg_52      4.69    
2weg_520     -4.99   
2weg_525     0.4     
2weg_530     -2.5    
2weg_542     2.02    
2weg_566     -0.46   
2weg_579     -9.08   
2weg_582     -5.23   
2weg_592     2.9     
2weg_598     -0.74   
2weg_599     2.06    
2weg_604     2.04    
2weg_614     -2.97   
2weg_620     -1.24   
2weg_632     -1.82   
2weg_643     -1.38   
2weg_644     0.68    
2weg_653     1.1     
2weg_666     -6.5    
2weg_674     0.68    
2weg_686     -4.73   
2weg_699     1.08    
2weg_765     1.75    
2weg_776     2.94    
2weg_784     1.69    
2weg_785     2.85    
2weg_80      3.65    
2weg_838     4.15    
2weg_ligand  4.33    
