#code        score   
3u5j_124     4.3     
3u5j_143     5.28    
3u5j_147     4.29    
3u5j_174     5.06    
3u5j_195     5.23    
3u5j_20      4.77    
3u5j_203     4.66    
3u5j_213     4.72    
3u5j_233     5.42    
3u5j_24      5.23    
3u5j_251     5.72    
3u5j_257     4.89    
3u5j_268     2.03    
3u5j_290     2.2     
3u5j_294     5.61    
3u5j_419     -7.63   
3u5j_421     -3.79   
3u5j_434     -4.81   
3u5j_439     -11.7   
3u5j_458     -4.06   
3u5j_47      5.63    
3u5j_475     2.11    
3u5j_481     -1.09   
3u5j_482     -5.72   
3u5j_491     -7.24   
3u5j_493     -6.53   
3u5j_497     -5.94   
3u5j_498     -9.21   
3u5j_505     4.86    
3u5j_526     4.97    
3u5j_536     -0.91   
3u5j_54      5.19    
3u5j_557     2.42    
3u5j_561     1.61    
3u5j_563     -2.39   
3u5j_566     0.91    
3u5j_574     1.22    
3u5j_576     0.31    
3u5j_578     -1.06   
3u5j_580     -1.49   
3u5j_584     1.53    
3u5j_589     0.31    
3u5j_591     0.64    
3u5j_593     0.31    
3u5j_603     -2.3    
3u5j_62      5.53    
3u5j_620     0.13    
3u5j_639     2.02    
3u5j_65      5.95    
3u5j_690     -0.95   
3u5j_710     3.26    
3u5j_723     2.63    
3u5j_728     4.61    
3u5j_731     2.88    
3u5j_733     2.97    
3u5j_736     2.65    
3u5j_746     2.64    
3u5j_756     2.69    
3u5j_757     3.43    
3u5j_759     2.22    
3u5j_764     2.94    
3u5j_773     2.45    
3u5j_803     4.17    
3u5j_830     4.61    
3u5j_845     2.94    
3u5j_858     3.07    
3u5j_894     3.98    
3u5j_928     4.48    
3u5j_968     1.53    
3u5j_972     4.04    
3u5j_974     3.7     
3u5j_ligand  6.13    
