#code        score   
4f9w_10      7.04    
4f9w_113     6.74    
4f9w_169     6.58    
4f9w_194     6.34    
4f9w_25      6.85    
4f9w_283     6.63    
4f9w_36      6.87    
4f9w_366     5.87    
4f9w_396     6.04    
4f9w_401     -5.23   
4f9w_405     -1.93   
4f9w_406     -2.18   
4f9w_407     5.17    
4f9w_408     2.67    
4f9w_419     1.23    
4f9w_421     2.82    
4f9w_435     2.39    
4f9w_442     -6.68   
4f9w_445     -6.91   
4f9w_452     -7.93   
4f9w_456     -4.48   
4f9w_463     -0.95   
4f9w_466     -2.98   
4f9w_469     -7.38   
4f9w_476     1.71    
4f9w_479     0.51    
4f9w_480     -1.04   
4f9w_485     -2.62   
4f9w_487     -6.36   
4f9w_489     -0.05   
4f9w_505     -0.26   
4f9w_518     4.16    
4f9w_523     0.35    
4f9w_524     -0.6    
4f9w_526     4.12    
4f9w_527     2.08    
4f9w_529     -0.05   
4f9w_530     1.07    
4f9w_565     0.87    
4f9w_571     1.81    
4f9w_572     3.47    
4f9w_573     4.25    
4f9w_580     2.86    
4f9w_581     0.46    
4f9w_583     -1.41   
4f9w_588     1.11    
4f9w_592     4.41    
4f9w_599     -2.31   
4f9w_609     -1      
4f9w_621     2.63    
4f9w_630     -4.49   
4f9w_637     -0.33   
4f9w_653     -0.49   
4f9w_661     -0.61   
4f9w_664     -4.69   
4f9w_671     -1.3    
4f9w_673     -0.48   
4f9w_674     1.79    
4f9w_684     0.02    
4f9w_685     -0.99   
4f9w_687     -1.72   
4f9w_695     -4.56   
4f9w_732     5.24    
4f9w_737     3.51    
4f9w_782     3.26    
4f9w_783     3.43    
4f9w_784     4.3     
4f9w_787     4.19    
4f9w_788     4.41    
4f9w_798     2.83    
4f9w_86      6.87    
4f9w_899     5.17    
4f9w_92      5.07    
4f9w_96      6.67    
4f9w_996     4.46    
4f9w_ligand  7.04    
