#code        score   
4ih5_140     3.61    
4ih5_148     4.37    
4ih5_159     3.97    
4ih5_161     3.97    
4ih5_168     3.57    
4ih5_169     4.06    
4ih5_192     3.78    
4ih5_202     2.9     
4ih5_219     3.79    
4ih5_227     4.81    
4ih5_281     3.23    
4ih5_302     4.98    
4ih5_306     4.83    
4ih5_327     4.39    
4ih5_341     4.57    
4ih5_367     4.8     
4ih5_374     3.98    
4ih5_381     4.07    
4ih5_384     5.02    
4ih5_390     3.87    
4ih5_397     4.8     
4ih5_400     4.25    
4ih5_417     3.7     
4ih5_421     -1.02   
4ih5_427     1.74    
4ih5_428     3.35    
4ih5_432     0.45    
4ih5_433     1.89    
4ih5_448     3.8     
4ih5_451     -2.02   
4ih5_454     -2.32   
4ih5_459     -2.91   
4ih5_463     4.13    
4ih5_465     2.28    
4ih5_467     3.37    
4ih5_482     2.69    
4ih5_492     1.38    
4ih5_5       5.5     
4ih5_502     3.19    
4ih5_508     2.14    
4ih5_516     0.44    
4ih5_543     2.29    
4ih5_546     0.44    
4ih5_560     1.66    
4ih5_562     1.73    
4ih5_566     2.43    
4ih5_57      4.84    
4ih5_581     2.05    
4ih5_587     3.29    
4ih5_612     2.42    
4ih5_638     2.04    
4ih5_651     0.23    
4ih5_674     -3.87   
4ih5_681     1.67    
4ih5_689     3.04    
4ih5_690     -0.73   
4ih5_708     3.85    
4ih5_715     3.18    
4ih5_720     2.51    
4ih5_729     1.57    
4ih5_762     2.92    
4ih5_764     2.76    
4ih5_765     1.74    
4ih5_779     2.39    
4ih5_782     3.49    
4ih5_789     2.11    
4ih5_793     2.43    
4ih5_794     3.58    
4ih5_867     2.94    
4ih5_892     2.43    
4ih5_966     4.07    
4ih5_983     3.55    
4ih5_ligand  4.4     
