#code        score   
5tmn_117     3.86    
5tmn_125     4.92    
5tmn_141     4.4     
5tmn_142     6.15    
5tmn_155     4.04    
5tmn_161     4.36    
5tmn_162     4.66    
5tmn_197     4.51    
5tmn_199     3.71    
5tmn_203     5.42    
5tmn_210     3.52    
5tmn_219     3.15    
5tmn_22      5.44    
5tmn_222     2.39    
5tmn_223     3.92    
5tmn_226     4.27    
5tmn_232     2.28    
5tmn_236     3.62    
5tmn_254     2.88    
5tmn_261     3.56    
5tmn_273     2.42    
5tmn_284     5.44    
5tmn_288     2.45    
5tmn_29      4.36    
5tmn_297     2.68    
5tmn_302     5.07    
5tmn_303     5.46    
5tmn_326     5.69    
5tmn_35      4.98    
5tmn_357     4.22    
5tmn_362     4.13    
5tmn_375     5.54    
5tmn_38      5.24    
5tmn_452     -4.5    
5tmn_462     -9.89   
5tmn_464     -7.87   
5tmn_465     -4.75   
5tmn_468     -12.76  
5tmn_498     -13.45  
5tmn_513     -2.23   
5tmn_518     -9.51   
5tmn_526     -9.4    
5tmn_535     -3.69   
5tmn_537     -5.59   
5tmn_540     -1.34   
5tmn_541     -0.64   
5tmn_551     -6.78   
5tmn_552     -5.25   
5tmn_553     -8.87   
5tmn_559     -5.8    
5tmn_566     -7.55   
5tmn_582     -0.7    
5tmn_588     -5.09   
5tmn_592     0.48    
5tmn_596     -3.23   
5tmn_609     -6.86   
5tmn_61      5.25    
5tmn_624     -8.3    
5tmn_639     -2.21   
5tmn_640     -6.18   
5tmn_643     0.91    
5tmn_649     -11.45  
5tmn_654     -11.44  
5tmn_659     -7.39   
5tmn_681     -8.8    
5tmn_685     -0.37   
5tmn_695     -3.36   
5tmn_700     -3.35   
5tmn_707     5.94    
5tmn_717     4.9     
5tmn_725     4.38    
5tmn_741     5.38    
5tmn_742     6.31    
5tmn_754     3.89    
5tmn_756     5.51    
5tmn_758     4.44    
5tmn_780     3.28    
5tmn_782     3.9     
5tmn_783     5.08    
5tmn_786     2.88    
5tmn_791     3.53    
5tmn_792     3.69    
5tmn_797     2.52    
5tmn_799     3.8     
5tmn_858     4.34    
5tmn_870     5.08    
5tmn_88      5.29    
5tmn_892     3.72    
5tmn_950     5.4     
5tmn_976     4.65    
5tmn_996     4.41    
5tmn_ligand  7.23    
