#code	score
2vw5_115	0.6793319999999999
2vw5_154	0.5813251
2vw5_160	0.72921896
2vw5_22	0.8043739000000001
2vw5_227	0.64633125
2vw5_249	0.75794923
2vw5_381	0.6459439
2vw5_403	0.70915115
2vw5_407	0.6859119
2vw5_408	0.7202496
2vw5_410	0.52926874
2vw5_411	0.7739668000000001
2vw5_415	0.78301287
2vw5_418	0.79723835
2vw5_420	0.65903735
2vw5_425	0.69659007
2vw5_434	0.6747437
2vw5_441	0.79723835
2vw5_442	0.7704529
2vw5_443	0.7358747
2vw5_467	0.65903735
2vw5_471	0.6348154
2vw5_475	0.8375945
2vw5_477	0.7202496
2vw5_488	0.6009181
2vw5_493	0.7949571999999999
2vw5_516	0.79723835
2vw5_519	0.79723835
2vw5_536	0.6739407
2vw5_537	0.7949571999999999
2vw5_541	0.78301287
2vw5_546	0.8375945
2vw5_552	0.65903735
2vw5_557	0.6739407
2vw5_576	0.79723835
2vw5_585	0.70915115
2vw5_618	0.65903735
2vw5_642	0.68666
2vw5_645	0.6739407
2vw5_652	0.65903735
2vw5_659	0.69659007
2vw5_661	0.78301287
2vw5_665	0.7704529
2vw5_667	0.78301287
2vw5_670	0.65903735
2vw5_678	0.6771522
2vw5_687	0.65903735
2vw5_688	0.6348154
2vw5_692	0.79723835
2vw5_693	0.65903735
2vw5_695	0.65903735
2vw5_696	0.7202496
2vw5_698	0.79239064
2vw5_736	0.87331593
2vw5_740	0.5683924
2vw5_751	0.58296376
2vw5_762	0.5890109
2vw5_789	0.733597
2vw5_791	0.80478585
2vw5_900	0.7127734
2vw5_ligand	0.6459439
