#code	score
2yge_198	0.6810506
2yge_22	0.6959553
2yge_252	0.84096164
2yge_267	0.8354098
2yge_269	0.74031967
2yge_35	0.41845548
2yge_402	0.7837353
2yge_408	0.6159309000000001
2yge_410	0.6518864000000001
2yge_425	0.57790804
2yge_437	0.65179276
2yge_439	0.44139695
2yge_447	0.75960577
2yge_467	0.45171696
2yge_472	0.75705904
2yge_476	0.6865623000000001
2yge_539	0.5695405
2yge_543	0.6434738
2yge_559	0.42351744
2yge_565	0.6237195
2yge_579	0.50447977
2yge_580	0.51700085
2yge_586	0.74182075
2yge_627	0.6695738
2yge_629	0.665461
2yge_646	0.67574066
2yge_659	0.51360047
2yge_664	0.608503
2yge_669	0.6742133000000001
2yge_679	0.5622590000000001
2yge_686	0.35560855
2yge_687	0.6746112
2yge_697	0.7228331
2yge_705	0.7034923000000001
2yge_713	0.71302813
2yge_721	0.66082156
2yge_730	0.9552265
2yge_74	0.8363726
2yge_748	0.8551460999999999
2yge_753	0.86633486
2yge_758	0.8679858
2yge_760	0.77191854
2yge_761	0.82716227
2yge_766	0.70150495
2yge_768	0.64144886
2yge_769	0.72407496
2yge_770	0.7711617
2yge_772	0.76288253
2yge_773	0.68062174
2yge_778	0.76824325
2yge_781	0.9500198000000001
2yge_784	0.77523553
2yge_786	0.8344643
2yge_787	0.68559617
2yge_792	0.82755244
2yge_798	0.9463168
2yge_842	0.7781941
2yge_882	0.7318269000000001
2yge_892	0.8383156999999999
2yge_966	0.8264256999999999
2yge_985	0.74986166
2yge_ligand	0.7482978
