#code	score
4w9l_10	0.682041
4w9l_100	0.71563643
4w9l_12	0.8129031
4w9l_136	0.73184156
4w9l_141	0.80249006
4w9l_143	0.8944879000000001
4w9l_151	0.7324771999999999
4w9l_170	0.75293624
4w9l_177	0.84843236
4w9l_180	0.7114676
4w9l_19	0.8890963
4w9l_192	0.8188849
4w9l_204	0.8970741
4w9l_215	0.8154405
4w9l_250	0.9138308
4w9l_261	0.71926296
4w9l_264	0.9253347
4w9l_27	0.54932934
4w9l_273	0.8124031999999999
4w9l_287	0.89570165
4w9l_309	0.7228905
4w9l_323	0.80481416
4w9l_326	0.7299846999999999
4w9l_341	0.60617113
4w9l_35	0.7990824000000001
4w9l_358	0.81110793
4w9l_368	0.8489861999999999
4w9l_379	0.7684226
4w9l_382	0.82557756
4w9l_393	0.7831562
4w9l_400	0.64406306
4w9l_402	0.66923386
4w9l_403	0.5372439
4w9l_406	0.76044244
4w9l_407	0.68693286
4w9l_410	0.57022583
4w9l_411	0.37402958
4w9l_430	0.7541124
4w9l_437	0.8441574000000001
4w9l_441	0.54597026
4w9l_448	0.7270768
4w9l_450	0.8906839
4w9l_452	0.59558344
4w9l_456	0.7386482
4w9l_457	0.68642443
4w9l_462	0.6838925
4w9l_466	0.6053916
4w9l_475	0.7768566
4w9l_480	0.7462003
4w9l_481	0.68969667
4w9l_482	0.66406935
4w9l_486	0.6946486999999999
4w9l_492	0.8068521
4w9l_493	0.64491415
4w9l_5	0.9329799999999999
4w9l_519	0.5030332000000001
4w9l_522	0.8080626000000001
4w9l_527	0.5670096
4w9l_53	0.7346351999999999
4w9l_545	0.6258953
4w9l_550	0.40415972
4w9l_556	0.81987566
4w9l_557	0.77621275
4w9l_572	0.71394247
4w9l_573	0.578961
4w9l_577	0.71761346
4w9l_579	0.46154323
4w9l_591	0.91173536
4w9l_594	0.7219842
4w9l_596	0.78031576
4w9l_604	0.6286286999999999
4w9l_612	0.77716357
4w9l_616	0.8005968000000001
4w9l_642	0.7452008000000001
4w9l_655	0.8375577
4w9l_657	0.57770777
4w9l_659	0.7176834
4w9l_675	0.797708
4w9l_681	0.73112047
4w9l_691	0.7883796
4w9l_696	0.6887453
4w9l_699	0.80084455
4w9l_704	0.8768825000000001
4w9l_708	0.7599503000000001
4w9l_709	0.77569807
4w9l_715	0.6874365
4w9l_719	0.7825766
4w9l_732	0.44435358
4w9l_759	0.70882624
4w9l_762	0.5022969
4w9l_770	0.6917223000000001
4w9l_779	0.712734
4w9l_787	0.55566204
4w9l_822	0.59364694
4w9l_84	0.66712767
4w9l_871	0.6277871
4w9l_886	0.6771456
4w9l_906	0.72009027
4w9l_93	0.79587173
4w9l_933	0.6698341
4w9l_ligand	0.7568988
