#code	score
3kgp_20	0.90590113
3kgp_31	0.96658516
3kgp_408	0.009444485
3kgp_420	0.033013005
3kgp_431	0.95751214
3kgp_434	0.34139606
3kgp_457	0.38999984
3kgp_465	0.36292929999999995
3kgp_475	0.2580313
3kgp_477	0.75159585
3kgp_483	0.033393525
3kgp_491	0.040906858
3kgp_492	0.9255042
3kgp_493	0.5494382
3kgp_496	0.26136309999999996
3kgp_5	0.9865638000000001
3kgp_504	0.0035060134000000002
3kgp_507	0.024407757000000002
3kgp_511	0.004831597
3kgp_523	0.0030119321
3kgp_524	0.00346586
3kgp_528	0.004412769
3kgp_532	0.00361585
3kgp_533	0.0027376604
3kgp_541	0.009675428
3kgp_547	0.003896921
3kgp_551	0.006511731
3kgp_568	0.0101722935
3kgp_573	0.0067931227
3kgp_574	0.007417127
3kgp_591	0.0034814714
3kgp_596	0.0051209275
3kgp_600	0.0040590195
3kgp_610	0.40757266
3kgp_657	0.27444723
3kgp_661	0.87223476
3kgp_687	0.0024347454
3kgp_693	0.0038206412
3kgp_696	0.06303945
3kgp_700	0.057071615
3kgp_715	0.9514643
3kgp_745	0.9400139000000001
3kgp_750	0.82739866
3kgp_757	0.733799
3kgp_763	0.010910851000000001
3kgp_768	0.0056031565
3kgp_771	0.0008726594
3kgp_776	0.00032940196
3kgp_777	0.60025465
3kgp_778	0.00023099252
3kgp_780	0.3040165
3kgp_782	0.0010710816
3kgp_783	0.089764245
3kgp_784	0.001254598
3kgp_785	0.0012944925
3kgp_786	0.0007574914
3kgp_787	0.28157437
3kgp_788	0.0008993911300000002
3kgp_789	0.0012677344
3kgp_790	0.0016581804000000001
3kgp_791	0.0016277429
3kgp_792	0.0012677344
3kgp_796	0.0017256604
3kgp_798	0.0011820778
3kgp_799	0.8542598
3kgp_ligand	0.9260386
