#code	score
4ogj_128	0.012228995
4ogj_138	0.024720699999999998
4ogj_177	0.011489548
4ogj_202	0.2813454
4ogj_209	0.17511706
4ogj_221	0.0068334625
4ogj_222	0.0029425540000000004
4ogj_223	0.1361125
4ogj_228	0.09593531
4ogj_229	0.12358838
4ogj_230	0.0030925323
4ogj_233	0.04292350599999999
4ogj_243	0.3259886
4ogj_245	0.042687517
4ogj_247	0.026154295
4ogj_250	0.012272962
4ogj_259	0.0033479259999999998
4ogj_260	0.00059644674
4ogj_263	0.025692357000000002
4ogj_267	0.0011403653
4ogj_271	0.0055798837
4ogj_279	0.020304922
4ogj_282	0.05025659
4ogj_286	0.008096337
4ogj_291	0.0009156172
4ogj_297	0.06542967
4ogj_300	0.053286094000000006
4ogj_40	0.010782136000000001
4ogj_439	0.050519247
4ogj_44	0.016696513
4ogj_447	0.08315281599999999
4ogj_45	0.00509732
4ogj_478	0.28705890000000006
4ogj_503	0.048396355999999995
4ogj_523	0.03759261
4ogj_527	0.0019295297
4ogj_565	0.063560754
4ogj_569	0.0051807743
4ogj_570	0.55572206
4ogj_575	0.055381253
4ogj_619	0.011507096999999999
4ogj_627	0.023393549
4ogj_637	0.022405123
4ogj_638	0.009504998
4ogj_65	0.006250165
4ogj_658	0.3841894
4ogj_661	0.05791413
4ogj_664	0.010484474
4ogj_670	0.005646442
4ogj_677	0.05085726
4ogj_698	0.006520324399999999
4ogj_7	0.044084995999999994
4ogj_70	0.0028805658
4ogj_700	0.0019192254
4ogj_701	0.02136445
4ogj_72	0.0046339829999999995
4ogj_722	0.01727343
4ogj_723	0.01543236
4ogj_742	0.05867892
4ogj_743	0.1398721
4ogj_744	0.00634082
4ogj_746	0.1447431
4ogj_750	0.05942901
4ogj_753	0.012683466000000001
4ogj_757	0.028251441000000002
4ogj_758	0.05603514
4ogj_762	0.03364542
4ogj_764	0.023388153
4ogj_771	0.007230532
4ogj_778	0.007537643
4ogj_782	0.035863858
4ogj_784	0.05106485
4ogj_785	0.0020317305
4ogj_789	0.06744942
4ogj_792	0.07034
4ogj_795	0.012249395
4ogj_808	0.0014610682000000001
4ogj_824	0.007220055
4ogj_852	0.0045842016
4ogj_881	0.06833293
4ogj_882	0.010929552
4ogj_89	0.04886538
4ogj_897	0.046626884
4ogj_914	0.08558915
4ogj_935	0.030128133999999997
4ogj_936	0.021501012000000003
4ogj_937	0.020310131999999998
4ogj_957	0.040298976
4ogj_969	0.028850392000000002
4ogj_990	0.037511624
4ogj_993	0.030237287
4ogj_999	0.053558607
4ogj_ligand	0.033096664
