#code	score
2wca_144	0.51899
2wca_161	0.5230706
2wca_173	0.4946349
2wca_20	0.59371275
2wca_201	0.50041896
2wca_206	0.39839888
2wca_219	0.26556632
2wca_225	0.19516593
2wca_23	0.3567386
2wca_235	0.6286046
2wca_241	0.30399838
2wca_254	0.53794473
2wca_264	0.40552142
2wca_267	0.37084302
2wca_269	0.5005544
2wca_273	0.16536948
2wca_281	0.38352734
2wca_287	0.64598143
2wca_37	0.45660758
2wca_414	0.6597069999999999
2wca_417	0.5673184
2wca_444	0.6199372
2wca_478	0.58656067
2wca_483	0.7945259
2wca_488	0.59817654
2wca_496	0.6015881999999999
2wca_5	0.21076316
2wca_545	0.49744365
2wca_550	0.69572705
2wca_564	0.46031246
2wca_575	0.3399198
2wca_585	0.093420476
2wca_586	0.41478994
2wca_587	0.2727841
2wca_592	0.34065372
2wca_596	0.5429134
2wca_599	0.33342978
2wca_600	0.5251453
2wca_610	0.5512971
2wca_613	0.49514377
2wca_616	0.51294017
2wca_638	0.34432995
2wca_65	0.47622259999999994
2wca_653	0.26873666
2wca_657	0.2677483
2wca_662	0.27479590000000004
2wca_674	0.49422666
2wca_679	0.52771115
2wca_692	0.6168378000000001
2wca_700	0.3025973
2wca_72	0.14965709
2wca_731	0.75804377
2wca_745	0.21790589999999999
2wca_755	0.40994045
2wca_760	0.5750605999999999
2wca_773	0.46821117
2wca_786	0.22533560000000002
2wca_788	0.22575648
2wca_791	0.20216642
2wca_81	0.43478763
2wca_816	0.6662169
2wca_82	0.19253291
2wca_829	0.7233681
2wca_851	0.76267755
2wca_853	0.36894625
2wca_855	0.6884352
2wca_887	0.525591
2wca_90	0.36779016
2wca_903	0.53794146
2wca_908	0.5528104
2wca_92	0.564491
2wca_925	0.24565934
2wca_936	0.6671039000000001
2wca_951	0.36760455
2wca_960	0.62927085
2wca_961	0.5732885999999999
2wca_965	0.46796963
2wca_971	0.55614483
2wca_974	0.21232389
2wca_983	0.6043189
2wca_ligand	0.57320845
