#code	score
3g2z_1001	0.42378274
3g2z_1002	0.44217219999999996
3g2z_1003	0.19727634
3g2z_1004	0.21055810000000003
3g2z_1005	0.27443649999999997
3g2z_1006	0.26089057
3g2z_1007	0.39387855
3g2z_1008	0.13250279999999998
3g2z_1009	0.22365900000000002
3g2z_1010	0.5705268
3g2z_1011	0.14144267
3g2z_1012	0.5690921999999999
3g2z_132	0.40926945
3g2z_152	0.0808372
3g2z_166	0.2566896
3g2z_189	0.19351153
3g2z_194	0.08301576
3g2z_332	0.100148775
3g2z_42	0.028823183999999998
3g2z_443	0.15358075
3g2z_490	0.124053285
3g2z_506	0.40264162
3g2z_517	0.22231370000000003
3g2z_525	0.27087507
3g2z_526	0.05945919
3g2z_528	0.1442325
3g2z_534	0.31770343
3g2z_535	0.5021354
3g2z_559	0.15072036
3g2z_568	0.19641091
3g2z_569	0.16902375
3g2z_578	0.18630542
3g2z_587	0.15761077
3g2z_588	0.41447008
3g2z_603	0.18226855
3g2z_610	0.12133495
3g2z_616	0.10265309
3g2z_626	0.08709933
3g2z_631	0.28301647
3g2z_632	0.07418807599999999
3g2z_656	0.33254942
3g2z_663	0.12451412
3g2z_668	0.17605497
3g2z_683	0.17069997
3g2z_687	0.29212922
3g2z_706	0.06775074
3g2z_745	0.09660496
3g2z_748	0.06524808
3g2z_755	0.018243613
3g2z_763	0.50677395
3g2z_776	0.05992984
3g2z_779	0.17330228
3g2z_790	0.25875378
3g2z_792	0.06000418
3g2z_818	0.12947068
3g2z_909	0.15726665
3g2z_915	0.11893219
3g2z_933	0.11965075
3g2z_940	0.120258875
3g2z_975	0.068672575
3g2z_ligand	0.106391706
