#code	score
3l7b_163	0.6210776
3l7b_203	0.64519876
3l7b_207	0.5965203
3l7b_217	0.5767594
3l7b_22	0.53415954
3l7b_256	0.5493313
3l7b_30	0.5740735
3l7b_38	0.61216396
3l7b_402	0.5443099
3l7b_416	0.5862014
3l7b_426	0.5269588000000001
3l7b_439	0.61937195
3l7b_446	0.49505879999999997
3l7b_447	0.42913213
3l7b_450	0.38254570000000004
3l7b_458	0.3356171
3l7b_462	0.5956642
3l7b_463	0.45869157
3l7b_468	0.37687117
3l7b_47	0.66335076
3l7b_485	0.42276067
3l7b_491	0.55866015
3l7b_500	0.58419466
3l7b_509	0.49732733
3l7b_521	0.5280557
3l7b_523	0.45778009999999997
3l7b_526	0.49539858
3l7b_527	0.23000084
3l7b_531	0.5273828
3l7b_542	0.3679542
3l7b_545	0.6234767
3l7b_550	0.58630383
3l7b_554	0.23700304
3l7b_557	0.2712205
3l7b_560	0.3346932
3l7b_561	0.56316155
3l7b_566	0.48215783
3l7b_568	0.24601628
3l7b_576	0.42343867
3l7b_578	0.5793607
3l7b_579	0.36731204
3l7b_582	0.48698094
3l7b_584	0.43566123
3l7b_586	0.46535265
3l7b_588	0.5689029000000001
3l7b_592	0.46467173
3l7b_604	0.36647466
3l7b_612	0.57859045
3l7b_616	0.55333316
3l7b_621	0.43282098
3l7b_627	0.37483886
3l7b_628	0.33351028
3l7b_631	0.40555754
3l7b_633	0.10405681
3l7b_638	0.4102313
3l7b_643	0.43174222
3l7b_656	0.2944625
3l7b_657	0.46066588
3l7b_658	0.48973304
3l7b_659	0.534424
3l7b_66	0.48050433
3l7b_660	0.5789349
3l7b_665	0.47122872
3l7b_683	0.35489208
3l7b_685	0.40816158
3l7b_686	0.40465805
3l7b_687	0.41857340000000004
3l7b_690	0.6840531
3l7b_694	0.5023898
3l7b_696	0.24601628
3l7b_719	0.55837476
3l7b_72	0.5358368
3l7b_730	0.31758709999999996
3l7b_750	0.48089492
3l7b_844	0.5540788000000001
3l7b_9	0.6818049
3l7b_93	0.5983165
3l7b_ligand	0.56564736
