#code	score
3rr4_13	0.44764269999999995
3rr4_2	0.25307265
3rr4_315	0.21860644
3rr4_369	0.8119945
3rr4_401	0.5967889000000001
3rr4_418	0.23728867
3rr4_426	0.19495492
3rr4_431	0.30841854
3rr4_436	0.6978588000000001
3rr4_437	0.6726839
3rr4_449	0.43131077
3rr4_454	0.60236764
3rr4_458	0.21096958
3rr4_466	0.25686255
3rr4_476	0.49846864
3rr4_479	0.6307931
3rr4_492	0.689739
3rr4_500	0.38316669999999997
3rr4_523	0.55814713
3rr4_529	0.6138276999999999
3rr4_575	0.6444270000000001
3rr4_578	0.44848934
3rr4_582	0.36207741
3rr4_591	0.5842998
3rr4_592	0.12962392
3rr4_596	0.6120114999999999
3rr4_62	0.47757497
3rr4_641	0.14087604
3rr4_648	0.5397430999999999
3rr4_663	0.25043118
3rr4_664	0.37723735
3rr4_669	0.40452114
3rr4_680	0.65472263
3rr4_694	0.25618252
3rr4_701	0.74873525
3rr4_703	0.44400746
3rr4_708	0.3359241
3rr4_715	0.20841569
3rr4_716	0.3891116
3rr4_718	0.33311766
3rr4_722	0.24570784
3rr4_724	0.13972233
3rr4_729	0.092448816
3rr4_73	0.3660415
3rr4_730	0.5191925999999999
3rr4_731	0.37672684
3rr4_735	0.25422135
3rr4_739	0.35054395
3rr4_746	0.09117582
3rr4_747	0.16803464
3rr4_749	0.2680445
3rr4_752	0.14805068
3rr4_758	0.10580153
3rr4_760	0.21554637
3rr4_761	0.17617881
3rr4_763	0.092910916
3rr4_764	0.07216471
3rr4_765	0.28624007
3rr4_766	0.30168438
3rr4_767	0.15127668
3rr4_768	0.2851671
3rr4_769	0.26974985
3rr4_771	0.40418309999999996
3rr4_773	0.32694885
3rr4_774	0.43256140000000004
3rr4_784	0.8438393
3rr4_786	0.36872196
3rr4_790	0.3054682
3rr4_791	0.27373955
3rr4_795	0.26031804
3rr4_806	0.3288408
3rr4_814	0.27364275
3rr4_831	0.20195562
3rr4_837	0.26381996
3rr4_839	0.1650164
3rr4_849	0.26032782
3rr4_85	0.7000685000000001
3rr4_851	0.3675945
3rr4_853	0.2058603
3rr4_863	0.122864746
3rr4_869	0.30804040000000005
3rr4_875	0.18061814
3rr4_884	0.26985356
3rr4_89	0.77367616
3rr4_891	0.20781967
3rr4_898	0.37902529999999995
3rr4_913	0.37546927
3rr4_922	0.4019534
3rr4_938	0.24482325
3rr4_949	0.24215116
3rr4_95	0.5293180000000001
3rr4_950	0.24992254
3rr4_955	0.32728893
3rr4_964	0.22356431
3rr4_972	0.2652573
3rr4_975	0.51843643
3rr4_99	0.17535804
3rr4_ligand	0.6912159999999999
