#code	score
4ivd_12	0.33335152
4ivd_231	0.48595320000000003
4ivd_243	0.45598578
4ivd_260	0.4730946
4ivd_404	0.4595835999999999
4ivd_405	0.37055427
4ivd_406	0.48829755
4ivd_426	0.43839547
4ivd_442	0.5485545999999999
4ivd_445	0.6944304
4ivd_449	0.38346365
4ivd_451	0.3013907
4ivd_467	0.43856326
4ivd_468	0.40456864
4ivd_473	0.40814438
4ivd_480	0.36870202
4ivd_490	0.32590159999999996
4ivd_492	0.44978640000000003
4ivd_495	0.5651025
4ivd_497	0.3101958
4ivd_518	0.25865299
4ivd_52	0.47069099999999997
4ivd_522	0.44464138
4ivd_533	0.18002437
4ivd_537	0.24869418
4ivd_541	0.28189155
4ivd_542	0.20188259
4ivd_546	0.27158198
4ivd_549	0.35595253
4ivd_550	0.45055443
4ivd_561	0.47789454
4ivd_562	0.37453645
4ivd_565	0.44183198
4ivd_567	0.42206067
4ivd_571	0.5608915
4ivd_572	0.25484538
4ivd_58	0.43929657
4ivd_588	0.46143675
4ivd_589	0.24087736
4ivd_595	0.30200073
4ivd_597	0.5474574999999999
4ivd_598	0.38794318
4ivd_599	0.5831970999999999
4ivd_605	0.53041625
4ivd_629	0.4084884
4ivd_641	0.51064324
4ivd_645	0.42153808
4ivd_648	0.32071537
4ivd_653	0.26134932
4ivd_658	0.52229697
4ivd_659	0.32683140000000005
4ivd_660	0.4259544
4ivd_664	0.5645509
4ivd_667	0.40468645
4ivd_671	0.55779606
4ivd_672	0.16899951
4ivd_674	0.37915537
4ivd_680	0.34445658
4ivd_688	0.2861951
4ivd_692	0.42474988
4ivd_694	0.44197097
4ivd_752	0.42873073
4ivd_771	0.40084222
4ivd_781	0.49299356
4ivd_785	0.53198594
4ivd_786	0.48938397
4ivd_787	0.5659865
4ivd_823	0.280006
4ivd_843	0.5020425000000001
4ivd_866	0.533429
4ivd_886	0.4430825
4ivd_962	0.47003534
4ivd_ligand	0.2742823
