#code	score
1qkt_119	0.6468619999999999
1qkt_132	0.64750284
1qkt_144	0.3377835
1qkt_150	0.8317793
1qkt_31	0.6827585
1qkt_404	0.56101227
1qkt_486	0.4308698
1qkt_500	0.5207019
1qkt_549	0.30881485
1qkt_55	0.82483506
1qkt_557	0.10895153
1qkt_594	0.07265405
1qkt_598	0.18860334
1qkt_608	0.54727703
1qkt_636	0.28830463
1qkt_640	0.48651576
1qkt_642	0.21055481
1qkt_647	0.13121574
1qkt_655	0.2267716
1qkt_661	0.2702762
1qkt_666	0.36136696
1qkt_674	0.5693864000000001
1qkt_698	0.37042390000000003
1qkt_714	0.7343837
1qkt_718	0.49417624
1qkt_728	0.6730019
1qkt_734	0.2669135
1qkt_735	0.16665478
1qkt_736	0.39738756
1qkt_737	0.34782420000000003
1qkt_738	0.1775587
1qkt_740	0.33731079999999997
1qkt_742	0.28232625
1qkt_744	0.19113529999999998
1qkt_746	0.15396856
1qkt_750	0.24840810000000002
1qkt_751	0.15456466
1qkt_752	0.8212311999999999
1qkt_758	0.18588816
1qkt_762	0.09284136
1qkt_765	0.3222215
1qkt_766	0.25999665
1qkt_770	0.68278646
1qkt_774	0.24685305
1qkt_775	0.17418398
1qkt_776	0.38815606
1qkt_826	0.584711
1qkt_834	0.40091756
1qkt_842	0.23161152
1qkt_848	0.28415295
1qkt_851	0.33522528
1qkt_855	0.16985406
1qkt_858	0.24219106
1qkt_86	0.5786962
1qkt_860	0.19483621
1qkt_862	0.24783675
1qkt_866	0.17012824
1qkt_867	0.43053475
1qkt_873	0.31660283
1qkt_875	0.21834825
1qkt_977	0.7358188
1qkt_ligand	0.5638009
