#code	score
2wvt_217	0.19152835
2wvt_266	0.14054568
2wvt_404	0.13573623
2wvt_415	0.04987745
2wvt_442	0.42498815
2wvt_456	0.024407405
2wvt_464	0.096001424
2wvt_474	0.0069948738
2wvt_478	0.05164222
2wvt_492	0.20534657
2wvt_510	0.15852952
2wvt_518	0.3773405
2wvt_526	0.22884874
2wvt_529	0.16392887
2wvt_546	0.23189488
2wvt_548	0.17448865
2wvt_552	0.32685820000000004
2wvt_565	0.050334927
2wvt_574	0.08457098
2wvt_579	0.240804
2wvt_581	0.17744695
2wvt_593	0.22501476
2wvt_615	0.30445722
2wvt_630	0.01813575
2wvt_675	0.09023843
2wvt_678	0.11032228
2wvt_720	0.2582145
2wvt_731	0.13594176
2wvt_736	0.37082902
2wvt_743	0.1968822
2wvt_758	0.09274034
2wvt_762	0.3194661
2wvt_764	0.23497522
2wvt_767	0.09912891
2wvt_770	0.23469117
2wvt_775	0.11155649
2wvt_777	0.24025409
2wvt_780	0.11322142
2wvt_843	0.09175937599999999
2wvt_848	0.4562448
2wvt_859	0.44437659999999995
2wvt_870	0.12439407400000001
2wvt_875	0.09081132
2wvt_884	0.48138255
2wvt_898	0.21207601
2wvt_920	0.47804788
2wvt_922	0.5448776
2wvt_961	0.68933445
2wvt_962	0.3329756
2wvt_982	0.07681656
2wvt_ligand	0.29079863
