#code	score
3e92_106	0.49985233
3e92_17	0.39856485
3e92_19	0.43421355
3e92_332	0.31130946
3e92_407	0.29458535
3e92_418	0.48594433
3e92_423	0.14722174
3e92_425	0.34592125
3e92_434	0.41720515
3e92_435	0.37933514
3e92_436	0.28704995
3e92_438	0.23678145
3e92_446	0.49267304
3e92_449	0.20033929
3e92_450	0.057995252000000004
3e92_453	0.17425913
3e92_470	0.08401479
3e92_471	0.33487207
3e92_475	0.09685299
3e92_482	0.41065142
3e92_490	0.46346316
3e92_493	0.067458935
3e92_497	0.06976524
3e92_498	0.26693127
3e92_500	0.08295783
3e92_506	0.33824894
3e92_513	0.06654989
3e92_518	0.10470592
3e92_523	0.13574395
3e92_525	0.19155312
3e92_526	0.07955533
3e92_528	0.24147348
3e92_534	0.10260793
3e92_538	0.07993904
3e92_540	0.05351248
3e92_541	0.10800176
3e92_542	0.16830398
3e92_544	0.14429834
3e92_545	0.14623165
3e92_546	0.18884411
3e92_547	0.08355669
3e92_551	0.09185307
3e92_552	0.30772892
3e92_553	0.08006166
3e92_554	0.28974497
3e92_555	0.05363941
3e92_557	0.41956392
3e92_560	0.06778575
3e92_562	0.069626175
3e92_578	0.39399629999999997
3e92_579	0.06335349400000001
3e92_581	0.17519403
3e92_582	0.06348838
3e92_588	0.20780171
3e92_589	0.18384086
3e92_590	0.29995397
3e92_593	0.36050665
3e92_594	0.17360751
3e92_596	0.15055273
3e92_597	0.14747192
3e92_598	0.028854934
3e92_599	0.21699539
3e92_623	0.20986445
3e92_625	0.44104332
3e92_627	0.2852314
3e92_64	0.36949337
3e92_656	0.18603134
3e92_664	0.14833020000000002
3e92_669	0.046127994000000005
3e92_670	0.13921513
3e92_678	0.032210812000000005
3e92_679	0.11180715
3e92_685	0.07100306
3e92_689	0.37900847
3e92_692	0.13125834
3e92_693	0.62966
3e92_697	0.7685893
3e92_698	0.49920744
3e92_732	0.07793206
3e92_733	0.066865355
3e92_735	0.13602921
3e92_745	0.16907348
3e92_752	0.08889580000000001
3e92_758	0.018954556
3e92_760	0.015917316
3e92_845	0.1570937
3e92_846	0.23848839
3e92_847	0.59316754
3e92_907	0.80625266
3e92_940	0.33311903
3e92_ligand	0.5161871
