#code	score
4cig_106	0.42442805
4cig_114	0.18312794
4cig_122	0.15418589
4cig_129	0.5037349
4cig_13	0.5229379
4cig_131	0.47573552
4cig_167	0.3590045
4cig_169	0.14240038
4cig_18	0.4132896
4cig_203	0.16403320000000002
4cig_219	0.28355595
4cig_22	0.33496442
4cig_241	0.12259057
4cig_253	0.18164304
4cig_265	0.053676407999999995
4cig_267	0.38172606
4cig_285	0.26788670000000003
4cig_290	0.117693566
4cig_298	0.23525909
4cig_329	0.29708484
4cig_342	0.31950426
4cig_351	0.36578348
4cig_369	0.18671809
4cig_372	0.27731666
4cig_386	0.30756459999999997
4cig_44	0.18214138
4cig_454	0.04015059
4cig_480	0.031287152
4cig_510	0.13019468
4cig_524	0.029833203
4cig_540	0.038221426
4cig_545	0.009143505
4cig_553	0.31134552
4cig_56	0.07400319999999999
4cig_570	0.077573955
4cig_575	0.17693096
4cig_589	0.10860879999999999
4cig_600	0.24358569
4cig_601	0.03757797
4cig_639	0.032394875
4cig_641	0.04693962
4cig_645	0.06591209
4cig_656	0.09876962
4cig_669	0.07570307
4cig_702	0.21486239999999998
4cig_707	0.12448996
4cig_710	0.18542607
4cig_716	0.1521941
4cig_719	0.24834438
4cig_738	0.21534072
4cig_739	0.14197245
4cig_750	0.39534128
4cig_759	0.13141693
4cig_762	0.065175556
4cig_763	0.07974045
4cig_766	0.09094884
4cig_769	0.036404297
4cig_770	0.3188978
4cig_774	0.08076762400000001
4cig_780	0.09007474
4cig_784	0.3090648
4cig_786	0.17384072
4cig_787	0.163071
4cig_788	0.17752476
4cig_809	0.08957083
4cig_83	0.16884357
4cig_848	0.24783014
4cig_851	0.13345632
4cig_852	0.16952933
4cig_860	0.072789505
4cig_929	0.24775334
4cig_947	0.17155553
4cig_950	0.32735327
4cig_956	0.22230156
4cig_957	0.055573646
4cig_98	0.25433615
4cig_ligand	0.18198429
