#code	score
5dwr_144	0.44417536
5dwr_148	0.5589768
5dwr_157	0.49483895
5dwr_162	0.6096081999999999
5dwr_166	0.62721294
5dwr_193	0.5413378000000001
5dwr_200	0.6496592
5dwr_215	0.3099888
5dwr_286	0.57138234
5dwr_289	0.51452446
5dwr_297	0.617733
5dwr_312	0.1755395
5dwr_382	0.6048600000000001
5dwr_401	0.056237496
5dwr_404	0.17487605
5dwr_411	0.0049250713
5dwr_412	0.02947805
5dwr_419	0.20782425
5dwr_425	0.023691379
5dwr_431	0.38228095
5dwr_441	0.013256978
5dwr_442	0.029322261000000002
5dwr_451	0.08044314
5dwr_461	0.1937549
5dwr_466	0.05546518
5dwr_467	0.0058664647
5dwr_475	0.022952858
5dwr_480	0.0035556465999999998
5dwr_484	0.35529099999999997
5dwr_489	0.13159065
5dwr_490	0.028227678
5dwr_497	0.07723171
5dwr_498	0.058876205
5dwr_504	0.092428654
5dwr_508	0.42771244
5dwr_518	0.29433298
5dwr_521	0.0910325
5dwr_527	0.45947745
5dwr_534	0.04055638
5dwr_542	0.109611355
5dwr_559	0.040387332000000005
5dwr_560	0.10422008
5dwr_568	0.029856274
5dwr_574	0.017513873
5dwr_584	0.010779177
5dwr_588	0.016239626
5dwr_598	0.015613038000000001
5dwr_604	0.24287464
5dwr_610	0.22752361
5dwr_612	0.45474085
5dwr_614	0.09735012
5dwr_626	0.45742923
5dwr_628	0.0140674105
5dwr_633	0.48704332
5dwr_635	0.10505856599999999
5dwr_636	0.022742007
5dwr_637	0.08484353
5dwr_638	0.09483417
5dwr_640	0.14503472
5dwr_642	0.07428242
5dwr_649	0.10096372
5dwr_654	0.18926410000000002
5dwr_663	0.10431756
5dwr_666	0.10340602
5dwr_669	0.3397151
5dwr_671	0.35079703
5dwr_675	0.080603614
5dwr_676	0.14009835
5dwr_677	0.0037564058000000003
5dwr_680	0.038699344
5dwr_686	0.0045428374
5dwr_691	0.24155895
5dwr_693	0.39829504
5dwr_695	0.21973802
5dwr_697	0.15273835
5dwr_699	0.009256182
5dwr_702	0.35365131
5dwr_710	0.0092516225
5dwr_711	0.022189438
5dwr_720	0.29060736
5dwr_745	0.3127704
5dwr_76	0.25706488
5dwr_875	0.07382021
5dwr_96	0.48475456
5dwr_ligand	0.5778164000000001
