#code	score
3g2n_117	0.8792654000000001
3g2n_197	0.4774447
3g2n_244	0.12917091
3g2n_35	0.85668737
3g2n_355	0.8743002000000001
3g2n_40	0.6597335999999999
3g2n_401	0.123581745
3g2n_405	0.06791728
3g2n_423	0.44031072
3g2n_427	0.011011448
3g2n_442	0.22586763
3g2n_450	0.10793301
3g2n_455	0.04429959
3g2n_461	0.24564055
3g2n_462	0.1876274
3g2n_475	0.055436075
3g2n_479	0.010684651000000002
3g2n_481	0.03521957
3g2n_489	0.009559774
3g2n_49	0.61067224
3g2n_491	0.04449209
3g2n_495	0.18648759
3g2n_499	0.053061225
3g2n_506	0.045857333
3g2n_515	0.058331445
3g2n_524	0.034279052000000004
3g2n_546	0.059751093
3g2n_547	0.12166775
3g2n_55	0.9232231
3g2n_556	0.3691302
3g2n_563	0.049089804
3g2n_574	0.01832265
3g2n_576	0.016546922
3g2n_582	0.0112492815
3g2n_588	0.057643432
3g2n_599	0.06618205
3g2n_630	0.021663386
3g2n_640	0.045502815
3g2n_642	0.05581467
3g2n_645	0.033205654
3g2n_647	0.012494829499999999
3g2n_656	0.09118689999999999
3g2n_658	0.048200235
3g2n_666	0.020837707
3g2n_674	0.02876882
3g2n_675	0.05717283
3g2n_676	0.10622555
3g2n_677	0.02278486
3g2n_678	0.07973126
3g2n_681	0.043334693
3g2n_682	0.018266998
3g2n_695	0.08292473
3g2n_77	0.8385833
3g2n_772	0.08750706
3g2n_773	0.054797504000000004
3g2n_774	0.06147456
3g2n_775	0.0633004
3g2n_81	0.6139678000000001
3g2n_870	0.74306625
3g2n_922	0.8378721
3g2n_93	0.3171593
3g2n_967	0.8850566999999999
3g2n_97	0.9068848
3g2n_ligand	0.8518011999999999
