#code	score
3mss_101	0.84579635
3mss_141	0.7296206999999999
3mss_18	0.87615275
3mss_197	0.6424201999999999
3mss_214	0.013172496
3mss_23	0.92293864
3mss_239	0.021174965
3mss_244	0.020130003
3mss_264	0.38684982
3mss_3	0.8435663
3mss_311	0.8876384
3mss_386	0.8387826999999999
3mss_401	0.005687188
3mss_412	0.019981071
3mss_424	0.004243799
3mss_433	0.015679905
3mss_434	0.043133803
3mss_443	0.009713781999999999
3mss_445	0.008231819
3mss_448	0.022615552
3mss_451	0.33286417
3mss_458	0.052402567000000004
3mss_459	0.010786775
3mss_465	0.036199212
3mss_466	0.04302617
3mss_467	0.006340291999999999
3mss_475	0.011785771
3mss_476	0.06063917
3mss_487	0.04353493
3mss_499	0.009779258
3mss_507	0.021058358
3mss_518	0.018622356
3mss_522	0.02164997
3mss_534	0.008478253
3mss_546	0.068765484
3mss_548	0.04715483
3mss_555	0.049724214
3mss_561	0.026226576
3mss_568	0.018352734
3mss_571	0.06805147
3mss_574	0.012137235
3mss_576	0.03022351
3mss_591	0.019166829
3mss_621	0.022032475
3mss_628	0.090494856
3mss_64	0.9685343000000001
3mss_653	0.01113751
3mss_665	0.0033700396000000002
3mss_668	0.0070928577
3mss_669	0.00465765
3mss_678	0.017718248
3mss_680	0.031820294
3mss_681	0.01695749
3mss_682	0.019377487
3mss_684	0.007738368000000001
3mss_689	0.026220023999999998
3mss_697	0.04976021
3mss_730	0.94285697
3mss_737	0.022292588
3mss_74	0.930825
3mss_747	0.035635855
3mss_757	0.029856697
3mss_758	0.05577929
3mss_765	0.021725083
3mss_79	0.9479841
3mss_792	0.19795085
3mss_800	0.53281695
3mss_812	0.59583473
3mss_82	0.60343176
3mss_827	0.06391763
3mss_836	0.5160475999999999
3mss_840	0.45412420000000003
3mss_856	0.81751674
3mss_869	0.03358532
3mss_873	0.10955839
3mss_9	0.64183855
3mss_94	0.28780997
3mss_946	0.38558835
3mss_948	0.6029263000000001
3mss_952	0.096885055
3mss_96	0.94644284
3mss_971	0.031188713
3mss_974	0.011467915
3mss_ligand	0.9467306000000001
