#code	score
2br1_118	-6.75794
2br1_167	-6.597339999999999
2br1_195	-3.89646
2br1_208	-5.62113
2br1_228	-2.40437
2br1_248	-5.33878
2br1_257	-5.2405
2br1_315	-7.30783
2br1_316	-7.7364
2br1_349	-7.685739999999999
2br1_354	-7.62438
2br1_356	-7.624639999999999
2br1_375	-6.94287
2br1_383	-7.68858
2br1_392	-7.78269
2br1_413	2.05517
2br1_416	6.9101300000000005
2br1_419	2.05139
2br1_430	12.70465
2br1_433	-4.99328
2br1_455	0.46342
2br1_47	-7.72617
2br1_475	9.54619
2br1_479	2.55972
2br1_502	-6.19687
2br1_511	-5.58867
2br1_523	3.45537
2br1_524	0.14862
2br1_540	-0.61734
2br1_543	-4.2636199999999995
2br1_549	4.06722
2br1_554	-4.33055
2br1_566	2.7734
2br1_572	-4.82661
2br1_588	-3.3522199999999995
2br1_598	9.762889999999999
2br1_606	0.79245
2br1_621	0.7006
2br1_630	-1.19908
2br1_649	2.71406
2br1_663	-2.7088900000000002
2br1_666	-4.61315
2br1_673	0.37389
2br1_675	3.08313
2br1_689	-1.09132
2br1_694	-4.7278400000000005
2br1_710	-3.28617
2br1_723	-6.36408
2br1_744	-5.57555
2br1_746	-3.49874
2br1_760	-1.31981
2br1_762	-6.47074
2br1_763	-6.181019999999999
2br1_764	-6.34701
2br1_767	-6.55333
2br1_769	-6.75857
2br1_789	-6.6222199999999996
2br1_790	-4.25723
2br1_831	-7.01685
2br1_835	-6.0423800000000005
2br1_850	-5.6509599999999995
2br1_854	-6.95653
2br1_857	-5.88868
2br1_866	-6.72262
2br1_873	-7.1212
2br1_879	-6.24287
2br1_897	-4.82923
2br1_952	-5.79354
2br1_966	-3.8641199999999998
2br1_976	-5.9581800000000005
2br1_984	-5.78514
2br1_988	-5.70106
2br1_ligand	-7.824439999999999
