#code	score
3dd0_156	-4.48951
3dd0_158	-4.48033
3dd0_161	-4.12994
3dd0_162	-4.10435
3dd0_168	-3.5684099999999996
3dd0_182	-4.50896
3dd0_197	-3.99605
3dd0_234	-3.4377400000000002
3dd0_238	-5.9873
3dd0_263	-2.35433
3dd0_273	-3.2399
3dd0_277	-5.1489400000000005
3dd0_283	-4.8605599999999995
3dd0_298	-5.0166
3dd0_314	-5.17307
3dd0_316	-5.1681
3dd0_360	-4.64585
3dd0_378	-4.74956
3dd0_402	3.5619
3dd0_403	6.50137
3dd0_406	1.63436
3dd0_411	-4.13731
3dd0_42	-3.66848
3dd0_43	-5.276330000000001
3dd0_432	6.1214699999999995
3dd0_441	-0.35186
3dd0_451	-3.33705
3dd0_455	2.92657
3dd0_47	-4.369190000000001
3dd0_478	3.63204
3dd0_479	-0.08363
3dd0_482	8.68176
3dd0_484	3.09215
3dd0_495	4.905130000000001
3dd0_50	-4.25139
3dd0_505	0.52432
3dd0_506	1.8218400000000001
3dd0_508	-2.59636
3dd0_510	1.0867
3dd0_553	6.83202
3dd0_567	-2.09448
3dd0_570	3.07763
3dd0_572	4.335430000000001
3dd0_582	0.77354
3dd0_585	0.77166
3dd0_595	-3.4723599999999997
3dd0_61	-0.32669000000000004
3dd0_642	1.55944
3dd0_645	-3.30496
3dd0_657	0.60432
3dd0_700	4.3030800000000005
3dd0_71	-2.61441
3dd0_725	-4.25418
3dd0_761	-3.57885
3dd0_769	-0.90233
3dd0_772	-0.5302100000000001
3dd0_775	-1.24124
3dd0_777	-1.6789
3dd0_787	-1.39049
3dd0_788	-1.55106
3dd0_796	-2.2736400000000003
3dd0_821	-2.95325
3dd0_868	-3.73656
3dd0_869	-2.9694700000000003
3dd0_886	-3.07385
3dd0_892	-2.73253
3dd0_895	-3.02275
3dd0_897	-2.7183599999999997
3dd0_974	-2.02196
3dd0_98	-3.5852199999999996
3dd0_996	-3.21691
3dd0_ligand	-6.1096900000000005
