#code	score
3dx2_14	-6.32188
3dx2_225	-5.59021
3dx2_253	-4.23356
3dx2_293	-4.50599
3dx2_380	-6.262919999999999
3dx2_39	-5.13492
3dx2_402	-3.5382599999999997
3dx2_426	0.10419
3dx2_443	6.64973
3dx2_472	5.06272
3dx2_479	8.67732
3dx2_482	12.367569999999999
3dx2_503	7.125839999999999
3dx2_508	0.36646
3dx2_514	-1.16729
3dx2_534	8.506310000000001
3dx2_535	-0.48395
3dx2_549	0.9299200000000001
3dx2_555	20.580920000000003
3dx2_570	-2.31873
3dx2_573	-3.2983599999999997
3dx2_576	-2.56737
3dx2_582	9.87015
3dx2_583	3.8660099999999997
3dx2_589	-2.56826
3dx2_591	-2.22217
3dx2_599	-4.09112
3dx2_602	3.17421
3dx2_610	-2.51671
3dx2_628	2.48162
3dx2_631	2.66067
3dx2_636	12.43159
3dx2_646	-0.28905
3dx2_649	-1.19143
3dx2_656	-1.4403
3dx2_659	3.2316599999999998
3dx2_661	0.75863
3dx2_677	-1.8612099999999998
3dx2_687	0.82295
3dx2_691	1.55833
3dx2_725	-2.6064599999999998
3dx2_736	-3.4943800000000005
3dx2_741	-1.31427
3dx2_743	-3.78894
3dx2_750	-3.7756800000000004
3dx2_754	-4.8167800000000005
3dx2_756	-2.1321
3dx2_761	-1.6129799999999999
3dx2_770	-3.58605
3dx2_772	-3.8488900000000004
3dx2_773	-4.12151
3dx2_774	-0.49196000000000006
3dx2_787	-0.9098299999999999
3dx2_820	-6.44832
3dx2_836	-4.30388
3dx2_893	-5.15528
3dx2_990	-5.49298
3dx2_ligand	-5.90062
