#code	score
3gv9_102	-4.07586
3gv9_124	-4.27342
3gv9_227	-3.4513599999999998
3gv9_24	-3.36787
3gv9_242	2.7463900000000003
3gv9_247	5.55846
3gv9_256	0.66599
3gv9_258	-0.80185
3gv9_259	-2.41723
3gv9_263	-3.50673
3gv9_266	2.0173799999999997
3gv9_277	1.2327
3gv9_281	-0.38453000000000004
3gv9_285	1.06555
3gv9_293	1.15544
3gv9_298	-2.85317
3gv9_30	-3.28827
3gv9_300	3.3248800000000003
3gv9_304	-4.01537
3gv9_305	-3.5832300000000004
3gv9_306	-4.04115
3gv9_307	-3.9127099999999997
3gv9_312	-3.67224
3gv9_315	-3.8676199999999996
3gv9_318	-4.408119999999999
3gv9_324	-4.26472
3gv9_328	-3.91652
3gv9_335	-3.49095
3gv9_340	-3.69984
3gv9_350	-3.45076
3gv9_355	-3.3914400000000002
3gv9_370	-4.2236
3gv9_379	-3.39194
3gv9_385	-4.1404
3gv9_397	-3.4720699999999995
3gv9_398	-3.9121099999999998
3gv9_399	-3.5729900000000003
3gv9_407	-3.21555
3gv9_432	-3.3317099999999997
3gv9_453	-3.67909
3gv9_462	-2.42695
3gv9_467	-1.7368599999999998
3gv9_47	-3.94024
3gv9_479	-1.7321099999999998
3gv9_480	-0.87818
3gv9_489	-2.9051
3gv9_491	1.71165
3gv9_505	-3.61335
3gv9_509	-2.6221900000000002
3gv9_537	0.55443
3gv9_540	-1.93092
3gv9_545	5.55751
3gv9_556	-0.17752
3gv9_559	-2.69054
3gv9_561	-1.2922
3gv9_563	0.76753
3gv9_564	-1.4838799999999999
3gv9_565	0.91205
3gv9_579	1.7172900000000002
3gv9_59	-4.20549
3gv9_592	1.32339
3gv9_6	-4.27002
3gv9_604	1.01989
3gv9_605	3.9420699999999997
3gv9_62	-4.37509
3gv9_623	5.18012
3gv9_626	-1.4628
3gv9_630	4.38202
3gv9_639	-0.8561200000000001
3gv9_642	0.41002
3gv9_658	3.64971
3gv9_660	-2.525
3gv9_661	5.3063199999999995
3gv9_670	2.39321
3gv9_674	-3.3588400000000003
3gv9_685	-0.043210000000000005
3gv9_688	4.13485
3gv9_697	-2.34019
3gv9_7	-4.1816
3gv9_700	-2.24353
3gv9_756	-1.30536
3gv9_759	-2.4986599999999997
3gv9_76	-3.6677
3gv9_760	-1.58681
3gv9_761	-3.36505
3gv9_765	0.42866000000000004
3gv9_767	-2.96619
3gv9_786	-1.2052
3gv9_810	2.3023599999999997
3gv9_826	-3.7315099999999997
3gv9_83	-3.54561
3gv9_835	-0.9081299999999999
3gv9_84	-4.47203
3gv9_85	-3.5894699999999995
3gv9_858	-2.95034
3gv9_875	-0.25965
3gv9_96	-3.03683
3gv9_98	-3.10974
3gv9_990	-0.0837
3gv9_ligand	-4.1649199999999995
