#code	score
4lzs_1	-5.79576
4lzs_154	-5.72119
4lzs_203	-1.40256
4lzs_224	-4.3818
4lzs_38	-6.198259999999999
4lzs_391	-5.83673
4lzs_415	-0.25082
4lzs_430	-5.94123
4lzs_442	1.0812899999999999
4lzs_446	2.6776299999999997
4lzs_454	3.3900699999999997
4lzs_456	1.6527
4lzs_465	1.01044
4lzs_529	-2.10173
4lzs_533	0.18982000000000002
4lzs_550	-0.08457999999999999
4lzs_560	-2.11048
4lzs_572	-1.0842200000000002
4lzs_586	3.46179
4lzs_61	-5.65729
4lzs_617	-3.96956
4lzs_653	-0.3606
4lzs_693	-2.63857
4lzs_70	-6.05996
4lzs_702	-6.03219
4lzs_725	-4.73577
4lzs_746	-1.5336100000000001
4lzs_749	-3.0552
4lzs_750	-3.66669
4lzs_752	-4.5019800000000005
4lzs_753	-1.9569999999999999
4lzs_755	-2.97725
4lzs_756	-3.8739199999999996
4lzs_760	-3.5433800000000004
4lzs_765	-2.1707099999999997
4lzs_767	-3.2824
4lzs_768	-2.95319
4lzs_773	-1.99225
4lzs_778	-2.71998
4lzs_779	-2.16653
4lzs_784	-3.49324
4lzs_788	-3.3436199999999996
4lzs_789	-3.2993300000000003
4lzs_793	-3.07153
4lzs_795	-1.51092
4lzs_819	-5.58143
4lzs_838	-3.97974
4lzs_841	-4.4291
4lzs_845	-1.50039
4lzs_849	-3.1423099999999997
4lzs_850	-3.88551
4lzs_852	-4.45115
4lzs_88	-5.34554
4lzs_880	-3.6311400000000003
4lzs_881	-3.3163699999999996
4lzs_884	-4.51551
4lzs_885	-3.6553400000000003
4lzs_890	-3.2683299999999997
4lzs_905	-5.89993
4lzs_951	-5.6368
4lzs_968	-4.590409999999999
4lzs_980	-5.65612
4lzs_ligand	-6.302969999999999
