#code	score
1s38_117	0.93065584
1s38_123	0.6785734999999999
1s38_152	0.9317518
1s38_305	0.8853059999999999
1s38_382	0.004722947
1s38_404	0.6250284
1s38_405	0.10451976
1s38_425	0.0113350125
1s38_426	0.2885346
1s38_430	0.06597684
1s38_431	0.037933752
1s38_432	0.24568795
1s38_433	0.5054016
1s38_434	0.041144243999999996
1s38_436	0.027237834
1s38_447	0.20598993
1s38_448	0.21642143
1s38_459	0.012560773
1s38_460	0.03211365
1s38_462	0.002808035
1s38_464	0.058864385
1s38_474	0.018183762
1s38_475	0.21624172
1s38_480	0.10889844
1s38_485	0.1594136
1s38_490	0.020962259
1s38_495	0.17574376
1s38_496	0.5815315
1s38_499	0.0046836315
1s38_500	0.013313341000000001
1s38_510	0.37183493
1s38_514	0.016822817
1s38_526	0.0017462572
1s38_527	0.06712661
1s38_537	0.11240093
1s38_542	0.040060315
1s38_545	0.17624071
1s38_548	0.32979316
1s38_549	0.27322754
1s38_550	0.15028498
1s38_551	0.046483714
1s38_552	0.1081076
1s38_553	0.0069365157
1s38_557	0.64916897
1s38_565	0.08816244
1s38_568	0.54722387
1s38_572	0.20591113
1s38_576	0.1304099
1s38_583	0.34139878
1s38_584	0.050993275
1s38_588	0.11452553
1s38_590	0.46924907
1s38_591	0.033717774
1s38_592	0.05855895
1s38_593	0.45317596
1s38_594	0.17013517
1s38_596	0.035646763
1s38_598	0.030241214
1s38_600	0.13477851
1s38_614	0.20004666
1s38_628	0.1735293
1s38_653	0.049423557
1s38_658	0.04452726
1s38_659	0.1156269
1s38_675	0.14397343
1s38_678	0.23209387
1s38_688	0.51481557
1s38_714	0.33401316
1s38_715	0.45593894
1s38_725	0.47483757
1s38_730	0.38312027
1s38_741	0.21081420000000003
1s38_75	0.9420709
1s38_752	0.2778388
1s38_765	0.34871796
1s38_774	0.07069177
1s38_779	0.16208599999999998
1s38_785	0.17983595
1s38_787	0.036871556
1s38_790	0.07182539999999998
1s38_792	0.030277131000000002
1s38_793	0.013146091
1s38_795	0.021886632000000003
1s38_82	0.9357161
1s38_822	0.31967765
1s38_845	0.35774678
1s38_850	0.329899
1s38_853	0.11940712
1s38_871	0.44775072
1s38_886	0.28301266
1s38_888	0.38796390000000003
1s38_893	0.39821985
1s38_940	0.3744982
1s38_942	0.37417778
1s38_961	0.42570096
1s38_964	0.26074743
1s38_969	0.18741983
1s38_976	0.47071555
1s38_981	0.40301509999999996
1s38_985	0.059891976
1s38_ligand	0.9738495
