#code	score
2v7a_107	0.02839384
2v7a_11	0.7333584
2v7a_130	0.07841360000000001
2v7a_131	0.08671437
2v7a_141	0.519844
2v7a_142	0.024770804
2v7a_150	0.31409556
2v7a_163	0.20885189
2v7a_173	0.12985583
2v7a_175	0.043002762
2v7a_181	0.08083141
2v7a_278	0.6541241999999999
2v7a_304	0.9011056000000001
2v7a_318	0.5340194
2v7a_321	0.61599785
2v7a_327	0.81107944
2v7a_338	0.74753815
2v7a_355	0.92120034
2v7a_369	0.16620609
2v7a_375	0.11193761
2v7a_379	0.18927560000000002
2v7a_380	0.6077053000000001
2v7a_381	0.7861734
2v7a_388	0.88406557
2v7a_407	0.07081601
2v7a_408	0.05884047
2v7a_416	0.0044724294
2v7a_419	0.04540435
2v7a_423	0.018408643
2v7a_424	0.020203615
2v7a_426	0.009459915
2v7a_429	0.018468333
2v7a_431	0.11405713
2v7a_434	0.005884964499999999
2v7a_441	0.03337031
2v7a_444	0.0122810695
2v7a_446	0.02650112
2v7a_447	0.0030120340000000002
2v7a_448	0.0077988678
2v7a_452	0.025201757
2v7a_475	0.024656953
2v7a_478	0.020659
2v7a_487	0.01619424
2v7a_489	0.08522344400000001
2v7a_494	0.032471407
2v7a_495	0.00486569
2v7a_496	0.0033076087
2v7a_498	0.014037283999999999
2v7a_514	0.45507318
2v7a_522	0.012014769
2v7a_523	0.025261745
2v7a_530	0.06462816
2v7a_536	0.04993578
2v7a_548	0.027655207
2v7a_550	0.02058945
2v7a_555	0.02206818
2v7a_557	0.02225108
2v7a_561	0.028053984
2v7a_568	0.013774576
2v7a_572	0.10187203
2v7a_583	0.013884413
2v7a_591	0.005306471
2v7a_592	0.13692519
2v7a_594	0.0651948
2v7a_600	0.022095375
2v7a_606	0.071568616
2v7a_609	0.006604584
2v7a_616	0.005348522
2v7a_621	0.023232335
2v7a_623	0.011808713
2v7a_629	0.0040775025
2v7a_632	0.035525195
2v7a_635	0.13575320000000002
2v7a_654	0.005713135
2v7a_663	0.11552533
2v7a_671	0.008246839
2v7a_679	0.0037863315
2v7a_684	0.048441023
2v7a_688	0.009396726999999999
2v7a_690	0.0028082363
2v7a_693	0.01658518
2v7a_698	0.07422321
2v7a_7	0.7061616999999999
2v7a_733	0.6702975
2v7a_737	0.82176095
2v7a_743	0.49669993
2v7a_744	0.40643504
2v7a_784	0.1996324
2v7a_789	0.22376037
2v7a_820	0.62113726
2v7a_845	0.51545566
2v7a_856	0.2754684
2v7a_859	0.57645345
2v7a_886	0.3150901
2v7a_889	0.28108853
2v7a_973	0.43727150000000004
2v7a_981	0.43700498
2v7a_983	0.45511850000000004
2v7a_985	0.7707036
2v7a_ligand	0.8546113000000001
