#code	score
3ge7_11	0.47576874
3ge7_140	0.904668
3ge7_191	0.9014155
3ge7_24	0.95027685
3ge7_262	0.84795135
3ge7_324	0.86336756
3ge7_404	0.05159468
3ge7_411	0.052442315999999996
3ge7_415	0.42171746
3ge7_424	0.07335991
3ge7_426	0.053128734000000004
3ge7_431	0.038416244
3ge7_443	0.07163415
3ge7_448	0.09350008
3ge7_451	0.025876204
3ge7_456	0.18901102
3ge7_460	0.024804901
3ge7_465	0.004837612
3ge7_469	0.2051451
3ge7_470	0.013905178
3ge7_480	0.07110662
3ge7_485	0.021083316
3ge7_488	0.05392841599999999
3ge7_490	0.028277501
3ge7_491	0.02258157
3ge7_498	0.099118456
3ge7_523	0.041719823999999996
3ge7_533	0.038158387
3ge7_536	0.29145953
3ge7_547	0.07264623
3ge7_552	0.26656929999999995
3ge7_556	0.0068376837
3ge7_561	0.11203822
3ge7_562	0.014571818
3ge7_567	0.19469395
3ge7_571	0.02110324
3ge7_572	0.18324369
3ge7_573	0.033337187000000004
3ge7_574	0.01496282
3ge7_579	0.021904845
3ge7_582	0.02518765
3ge7_583	0.071605876
3ge7_587	0.09575567
3ge7_589	0.032612268
3ge7_590	0.28819138
3ge7_594	0.008060211
3ge7_598	0.119889244
3ge7_599	0.14006361
3ge7_600	0.0050362637
3ge7_637	0.1934241
3ge7_638	0.08994454
3ge7_641	0.0700872
3ge7_644	0.02957032
3ge7_651	0.082922466
3ge7_655	0.09592951
3ge7_658	0.12757224
3ge7_659	0.14664741
3ge7_666	0.19664034
3ge7_667	0.08095765
3ge7_674	0.038902685
3ge7_676	0.1723604
3ge7_683	0.015725149
3ge7_684	0.055334426
3ge7_685	0.046823647
3ge7_688	0.017140321
3ge7_717	0.9297403000000001
3ge7_718	0.76778144
3ge7_791	0.9345459
3ge7_794	0.84207916
3ge7_795	0.8509901
3ge7_824	0.8839290999999999
3ge7_895	0.91935605
3ge7_898	0.87265295
3ge7_ligand	0.9820588
