#code	score
3gv9_102	0.11228229
3gv9_124	0.39228514
3gv9_227	0.18982211
3gv9_24	0.45178723
3gv9_242	0.03372083
3gv9_247	0.13754737
3gv9_256	0.09356469
3gv9_258	0.10019629
3gv9_259	0.24012563
3gv9_263	0.29135016
3gv9_266	0.038210742
3gv9_277	0.12739868
3gv9_281	0.13337937
3gv9_285	0.12542593
3gv9_293	0.10614173
3gv9_298	0.12718737
3gv9_30	0.26892743
3gv9_300	0.017159426999999998
3gv9_304	0.18271942
3gv9_305	0.41459686
3gv9_306	0.74151015
3gv9_307	0.47356220000000004
3gv9_312	0.52025783
3gv9_315	0.6514101
3gv9_318	0.8714708000000001
3gv9_324	0.42868784
3gv9_328	0.5990669
3gv9_335	0.19319187
3gv9_340	0.46736822
3gv9_350	0.27952397
3gv9_355	0.35867557
3gv9_370	0.5478575
3gv9_379	0.2669784
3gv9_385	0.86335826
3gv9_397	0.2738699
3gv9_398	0.5731293000000001
3gv9_399	0.28295243
3gv9_407	0.026957487999999998
3gv9_432	0.19783689
3gv9_453	0.40368712
3gv9_462	0.25151795
3gv9_467	0.30544987
3gv9_47	0.46960148
3gv9_479	0.42954367
3gv9_480	0.07687076
3gv9_489	0.112995796
3gv9_491	0.061585374000000005
3gv9_505	0.10915943
3gv9_509	0.15277487
3gv9_537	0.18588659999999999
3gv9_540	0.09190366400000001
3gv9_545	0.20344943
3gv9_556	0.20234597
3gv9_559	0.038456652
3gv9_561	0.26657224
3gv9_563	0.15680116
3gv9_564	0.11236578
3gv9_565	0.10880145
3gv9_579	0.05837715
3gv9_59	0.5527948
3gv9_592	0.08780131
3gv9_6	0.5468809
3gv9_604	0.068805315
3gv9_605	0.46031684
3gv9_62	0.4064271
3gv9_623	0.061776045999999994
3gv9_626	0.11190303
3gv9_630	0.059395272
3gv9_639	0.15560289
3gv9_642	0.06060386
3gv9_658	0.04995607
3gv9_660	0.037180338
3gv9_661	0.23743045
3gv9_670	0.096475884
3gv9_674	0.16219038
3gv9_685	0.24207404
3gv9_688	0.09887668
3gv9_697	0.12276135
3gv9_7	0.52779704
3gv9_700	0.38077822
3gv9_756	0.1915076
3gv9_759	0.0961344
3gv9_76	0.47348714
3gv9_760	0.16815025
3gv9_761	0.36629933
3gv9_765	0.20751348
3gv9_767	0.21493815
3gv9_786	0.24987149
3gv9_810	0.041855995
3gv9_826	0.37362492
3gv9_83	0.39374954
3gv9_835	0.26935515
3gv9_84	0.57457954
3gv9_85	0.31728753
3gv9_858	0.15745895
3gv9_875	0.13962859
3gv9_96	0.1711241
3gv9_98	0.25974432
3gv9_990	0.18813682
3gv9_ligand	0.5822213
