#code	score
4cra_102	0.48787293
4cra_113	0.6305638000000001
4cra_119	0.44805875
4cra_124	0.51731807
4cra_126	0.46672437
4cra_130	0.46391708
4cra_151	0.32952220000000004
4cra_155	0.6594079
4cra_175	0.5191114
4cra_201	0.5864929
4cra_204	0.6716641
4cra_214	0.14277904
4cra_219	0.09609994
4cra_224	0.69599706
4cra_230	0.59306306
4cra_24	0.9422226
4cra_240	0.24466112
4cra_250	0.22501405
4cra_258	0.42300197
4cra_270	0.8467140999999999
4cra_276	0.48636818
4cra_281	0.52416366
4cra_283	0.68922704
4cra_292	0.7770553000000001
4cra_296	0.20458774
4cra_302	0.6058358
4cra_307	0.45057985
4cra_318	0.5238455
4cra_354	0.7858824000000001
4cra_358	0.8816758
4cra_364	0.7087386
4cra_375	0.9068851000000001
4cra_378	0.5924351
4cra_383	0.882182
4cra_4	0.6021814
4cra_413	0.058375083
4cra_422	0.06946024
4cra_439	0.13081598
4cra_441	0.007697847
4cra_444	0.05569135
4cra_448	0.06808986
4cra_456	0.044532685999999995
4cra_470	0.032202326
4cra_472	0.009580011999999999
4cra_477	0.0064637194999999995
4cra_479	0.033924542
4cra_496	0.017521118999999998
4cra_504	0.021823527000000002
4cra_523	0.027280387000000003
4cra_525	0.055493265
4cra_533	0.092900306
4cra_538	0.10280954
4cra_540	0.022117162000000003
4cra_541	0.013111254
4cra_547	0.09124106
4cra_548	0.050443046
4cra_549	0.031298093
4cra_564	0.23231329
4cra_566	0.040193099999999995
4cra_569	0.035178002
4cra_572	0.043445997
4cra_576	0.06121498
4cra_578	0.031495184
4cra_579	0.009714851
4cra_580	0.090597995
4cra_584	0.052856248
4cra_589	0.126573
4cra_590	0.026005259
4cra_591	0.13160239
4cra_595	0.018095108000000002
4cra_596	0.085932046
4cra_604	0.013433006
4cra_61	0.77523434
4cra_610	0.06491228
4cra_624	0.0106831845
4cra_636	0.10350718
4cra_644	0.04312177
4cra_656	0.005289554
4cra_658	0.063862
4cra_680	0.12810402
4cra_689	0.023387847000000003
4cra_695	0.14591099999999999
4cra_716	0.25863206
4cra_719	0.7937819
4cra_720	0.354501
4cra_748	0.1613759
4cra_795	0.31399757
4cra_81	0.22253533
4cra_827	0.13807958
4cra_828	0.18646814
4cra_830	0.8324513000000001
4cra_855	0.0995955
4cra_861	0.23164845
4cra_893	0.10350178
4cra_905	0.25679070000000004
4cra_918	0.24594986
4cra_941	0.1253989
4cra_953	0.035008557
4cra_967	0.29817790000000005
4cra_972	0.14614682
4cra_ligand	0.8833324
