#code	score
1o5b_19	5.58
1o5b_200	5.33
1o5b_253	5.51
1o5b_256	5.65
1o5b_272	5.56
1o5b_329	5.55
1o5b_396	5.55
1o5b_400	5.6
1o5b_406	5.24
1o5b_413	5.57
1o5b_419	5.52
1o5b_421	5.51
1o5b_423	5.32
1o5b_432	5.2
1o5b_441	5.51
1o5b_445	5.49
1o5b_446	5.26
1o5b_454	5.28
1o5b_461	5.24
1o5b_468	5.33
1o5b_472	5.27
1o5b_474	5.32
1o5b_483	5.47
1o5b_489	5.55
1o5b_490	5.25
1o5b_497	5.33
1o5b_505	5.0
1o5b_508	5.55
1o5b_511	4.93
1o5b_512	5.33
1o5b_529	4.88
1o5b_534	5.11
1o5b_535	5.05
1o5b_539	5.11
1o5b_548	5.16
1o5b_552	4.72
1o5b_554	5.29
1o5b_561	5.19
1o5b_572	4.74
1o5b_579	4.77
1o5b_584	5.22
1o5b_592	4.71
1o5b_595	5.01
1o5b_625	5.47
1o5b_628	5.5
1o5b_638	5.38
1o5b_653	5.19
1o5b_654	5.52
1o5b_663	5.03
1o5b_664	5.36
1o5b_665	5.21
1o5b_681	5.19
1o5b_699	5.29
1o5b_722	4.96
1o5b_723	4.73
1o5b_724	5.12
1o5b_725	4.63
1o5b_726	4.57
1o5b_731	4.41
1o5b_732	4.42
1o5b_739	4.54
1o5b_740	4.55
1o5b_744	5.1
1o5b_747	4.41
1o5b_750	4.62
1o5b_751	4.42
1o5b_755	4.48
1o5b_756	4.51
1o5b_760	4.4
1o5b_762	4.7
1o5b_764	4.37
1o5b_765	4.7
1o5b_79	5.75
1o5b_807	4.55
1o5b_813	4.98
1o5b_827	4.48
1o5b_832	4.59
1o5b_836	4.54
1o5b_844	4.54
1o5b_857	4.61
1o5b_860	4.58
1o5b_865	4.42
1o5b_892	5.04
1o5b_903	4.95
1o5b_911	4.6
1o5b_936	4.79
1o5b_943	4.72
1o5b_957	4.99
1o5b_959	4.79
1o5b_963	5.04
1o5b_ligand	5.63
